ID,Zip Code,Year Built,Price,Living Space (SQFT),Lot Space (SQFT),Bedrooms,Bathrooms,Number of Floors,Basement,Waterfront
18426,98106,2003,420000,2150,6117,5,3,1,Yes,Yes
19123,98038,2003,250000,1470,2781,3,2,2,No,Yes
19294,98133,2003,310000,1310,1361,3,2,3,No,No
19400,98053,2003,535000,2120,4080,3,2,2,No,No
19463,98019,2003,439000,2010,251341,3,2,2,Yes,No
19589,98155,2003,320000,1420,1716,3,2,2,Yes,No
19612,98038,2003,540000,3610,9775,5,3,2,No,No
21600,98053,2003,810000,3990,7838,4,3,2,No,No
374,98023,2004,380000,3450,9914,5,3,2,No,No
572,98075,2004,720000,3200,7708,4,4,2,No,Yes
725,98178,2004,350000,2520,5500,5,3,1,Yes,No
1139,98038,2004,219000,1310,2550,2,2,2,No,Yes
1743,98056,2004,445000,3880,7180,5,3,2,No,No
2050,98053,2004,575000,1680,6194,2,2,1,No,Yes
2143,98075,2004,765000,3010,7221,4,4,2,No,Yes
2268,98004,2004,2750000,6300,16065,5,4,2,Yes,Yes
2995,98112,2004,570000,1400,1657,3,2,2,Yes,Yes
3575,98198,2004,230000,1300,3608,2,2,1,No,Yes
3741,98038,2004,222000,1360,3300,2,2,2,No,No
4380,98146,2004,1050000,3250,5093,3,3,2,No,Yes
4442,98014,2004,790000,2560,982278,2,3,1,No,No
4487,98075,2004,2000000,4580,4443,5,4,3,No,Yes
5381,98052,2004,695000,3290,14134,5,3,1,Yes,No
5473,98178,2004,372500,2480,10090,5,3,1,Yes,Yes
5582,98028,2004,500000,2450,4668,4,3,2,No,No
6083,98053,2004,519000,1560,4823,2,2,1,No,No
6198,98103,2004,1695000,3320,5354,5,3,2,No,No
7159,98042,2004,390000,1900,76877,4,2,1,No,No
7201,98029,2004,1300000,4270,6002,4,4,2,Yes,No
7349,98053,2004,554000,1670,4996,2,2,1,No,Yes
7590,98116,2004,367500,1030,600,2,2,2,Yes,No
8036,98038,2004,218000,1310,2841,2,2,2,No,No
8200,98125,2004,525000,1540,7800,3,2,1,No,No
8248,98038,2004,335000,1420,5185,2,2,1,No,No
9032,98116,2004,435000,1440,1170,2,2,2,Yes,Yes
9381,98103,2004,533000,1280,1085,3,3,3,No,No
9473,98053,2004,495000,1580,5203,2,2,1,No,No
9686,98056,2004,430000,3880,8432,5,3,2,No,No
10116,98038,2004,555000,3640,6930,5,3,2,No,No
10942,98053,2004,480000,1350,4220,2,2,1,No,Yes
11601,98126,2004,238000,1020,1204,3,2,2,Yes,No
11745,98122,2004,400000,1050,1173,2,2,2,Yes,No
13299,98010,2004,740000,3350,199253,4,3,2,No,Yes
13300,98010,2004,700000,3350,199253,4,3,2,No,No
13728,98045,2004,472000,2770,89298,3,2,2,No,No
14686,98075,2004,1465000,4930,22093,4,4,2,No,No
14750,98053,2004,381000,1340,4447,2,2,1,No,Yes
15026,98125,2004,310000,1290,886,3,2,3,No,No
16449,98033,2004,1875000,5810,7440,4,5,2,Yes,Yes
16858,98116,2004,380000,1120,780,2,2,2,Yes,Yes
17132,98002,2004,315000,2210,4191,4,3,2,No,Yes
17556,98023,2004,545400,2850,19200,3,2,1,Yes,No
17557,98092,2004,350000,2560,5606,4,3,2,No,No
18573,98030,2004,299000,1730,6007,3,2,1,No,Yes
18760,98053,2004,554000,1870,5580,2,2,1,No,No
19139,98144,2004,276000,870,2676,2,1,1,Yes,No
19592,98053,2004,564000,1690,4500,2,2,1,No,Yes
20135,98107,2004,548000,1370,1878,2,2,3,No,No
20249,98108,2004,453000,2330,4284,3,3,2,Yes,Yes
20924,98065,2004,1149000,5940,11533,4,3,2,Yes,No
21466,98033,2004,875000,2960,15152,5,3,2,No,Yes
227,98053,2005,479950,1510,6516,2,2,1,No,Yes
523,98133,2005,515000,2530,5105,5,3,1,Yes,Yes
2878,98038,2005,195000,1180,2553,2,2,2,No,Yes
3923,98053,2005,431500,1370,4866,2,2,1,No,No
4047,98022,2005,267000,1390,6005,3,2,2,No,No
4102,98053,2005,634800,3280,4904,4,3,2,No,Yes
4446,98030,2005,360000,2483,6870,4,3,2,No,Yes
4476,98029,2005,670000,2980,3730,3,3,2,No,No
5120,98029,2005,310000,1050,2699,2,1,1,No,No
5953,98029,2005,376000,1540,1827,3,2,2,No,No
5993,98038,2005,241000,1470,3128,2,2,2,No,Yes
6573,98106,2005,538900,3040,6604,5,3,2,No,Yes
7356,98030,2005,315000,2110,10766,5,3,2,No,No
7865,98029,2005,285000,1050,3088,2,1,1,No,Yes
7877,98053,2005,439888,1300,6515,2,2,1,No,No
8207,98032,2005,249000,1752,14626,3,1,2,No,No
8668,98029,2005,402000,1540,1827,3,2,2,No,Yes
9400,98077,2005,879000,3590,89640,4,3,2,No,No
10279,98075,2005,1300000,4120,14021,4,3,2,No,Yes
10660,98102,2005,615000,1420,991,3,3,2,Yes,No
11887,98038,2005,215000,1180,2521,2,2,2,No,Yes
12517,98053,2005,572000,1870,5143,2,2,1,No,Yes
12627,98038,2005,209900,1180,3003,2,2,2,No,Yes
13603,98188,2005,349950,2257,10117,5,3,1,Yes,No
13995,98014,2005,370000,2100,58488,2,2,2,No,Yes
14055,98053,2005,344000,1300,4659,2,2,1,No,Yes
15913,98075,2005,1425000,4630,24054,4,5,2,No,No
16403,98042,2005,341950,3070,5252,5,3,2,No,Yes
16556,98038,2005,249900,1470,2541,2,2,2,No,Yes
17123,98075,2005,960000,3720,15200,5,4,2,No,No
17396,98030,2005,331000,2483,5701,4,3,2,No,Yes
18049,98053,2005,548050,1930,5479,2,2,1,No,Yes
18489,98107,2005,473000,1380,1081,3,3,3,No,No
19356,98042,2005,370000,2490,5706,4,3,2,No,Yes
19657,98030,2005,480000,3028,18055,6,5,2,No,Yes
19928,98122,2005,360000,880,1165,2,1,2,No,Yes
20537,98144,2005,441000,1290,1289,2,1,2,Yes,No
20893,98042,2005,790000,5370,69848,4,3,2,Yes,Yes
21213,98122,2005,552100,1330,1379,3,3,2,Yes,Yes
412,98070,2006,517534,833,143947,2,1,1,No,Yes
1400,98053,2006,408000,1200,3900,2,2,1,No,No
1571,98065,2006,539950,3100,5250,5,3,2,No,No
2531,98053,2006,509000,1560,4675,2,2,1,No,No
3007,98053,2006,530000,1680,4950,2,2,1,No,Yes
3595,98108,2006,495000,2440,4750,5,3,1,Yes,Yes
3969,98136,2006,405000,1410,1240,2,3,2,Yes,Yes
4010,98053,2006,559950,1870,4950,2,2,1,No,No
4551,98118,2006,280000,1390,1080,3,3,2,Yes,No
5337,98053,2006,559000,1930,5520,2,2,1,No,No
6421,98038,2006,585000,3400,5100,4,3,2,No,No
9566,98053,2006,457000,1440,9985,2,2,1,No,Yes
9854,98122,2006,448175,1370,1339,2,2,2,Yes,Yes
10570,98001,2006,248000,2163,5883,4,3,2,No,No
10715,98052,2006,738000,2630,4896,3,3,2,No,No
10783,98027,2006,1050000,4320,8709,4,4,2,Yes,No
11579,98053,2006,412250,1300,2983,2,2,1,No,No
11767,98053,2006,592350,1570,4665,2,2,1,No,Yes
12103,98053,2006,592500,1870,4751,2,2,1,No,Yes
12655,98053,2006,450000,1510,4908,2,2,1,No,Yes
13625,98053,2006,398000,1300,3865,2,2,1,No,Yes
13918,98119,2006,589000,1720,954,3,3,3,Yes,Yes
14052,98053,2006,389000,1200,7131,2,2,1,No,Yes
14549,98108,2006,249950,1790,2003,3,3,2,Yes,Yes
14998,98052,2006,731688,2630,5772,4,3,2,No,Yes
15726,98103,2006,640000,1560,1466,3,3,3,No,Yes
16448,98119,2006,625000,1820,1641,3,3,3,Yes,No
18008,98105,2006,458000,1390,1569,3,4,2,Yes,Yes
18765,98052,2006,731781,2630,4972,3,3,2,No,No
19730,98028,2006,600000,3530,8345,3,3,2,No,Yes
19765,98074,2006,1583000,5610,11063,4,4,3,Yes,No
19859,98027,2006,2700000,7850,89651,4,4,2,No,No
19880,98027,2006,909500,4420,5940,4,4,2,Yes,Yes
19881,98042,2006,210000,1580,4961,3,2,2,No,Yes
20198,98074,2006,1104500,3770,8899,4,4,2,Yes,No
20222,98103,2006,360000,1270,1323,3,2,3,No,No
20230,98126,2006,459000,2440,2076,3,3,2,Yes,Yes
20257,98126,2006,270000,1300,1920,3,2,2,Yes,Yes
20307,98117,2006,767450,1630,7599,3,2,1,No,No
20323,98052,2006,1240000,4410,14380,5,4,2,No,Yes
20383,98117,2006,437000,1460,1180,3,3,3,No,No
20394,98002,2006,300000,2744,9926,6,3,2,No,Yes
20401,98136,2006,306500,840,892,2,1,2,No,No
20604,98118,2006,445000,1620,5101,3,2,1,Yes,Yes
20735,98019,2006,330675,1930,3031,4,3,1,Yes,No
20736,98118,2006,275000,1390,1080,3,3,2,Yes,No
20761,98065,2006,765000,4410,5104,4,3,2,Yes,No
20847,98103,2006,369950,1270,1320,3,2,3,No,Yes
20894,98103,2006,401000,1270,1333,3,2,3,No,No
20918,98102,2006,575000,1384,1287,3,3,2,Yes,Yes
21200,98117,2006,427005,1460,1200,3,3,3,No,Yes
21382,98103,2006,339950,820,681,2,1,3,No,No
21418,98103,2006,598500,1560,2091,3,3,3,No,No
21532,98136,2006,346000,1060,1184,3,2,2,Yes,Yes
21557,98107,2006,553000,1400,1512,2,2,2,Yes,No
1887,98075,2007,785500,3280,8448,4,4,2,No,Yes
2346,98055,2007,495000,3440,4500,6,5,2,Yes,No
2974,98126,2007,219500,820,1060,1,1,1,Yes,Yes
4106,98053,2007,389000,1340,4122,2,2,1,No,No
4165,98053,2007,420250,1510,3657,3,2,1,No,Yes
4315,98065,2007,688000,4000,9309,4,4,2,No,Yes
4788,98119,2007,497000,2060,1850,3,3,2,Yes,Yes
4932,98168,2007,300000,1940,6355,5,3,1,Yes,Yes
5560,98029,2007,539950,1670,3507,2,2,1,No,No
9203,98065,2007,625000,3240,5324,5,1,2,No,No
10920,98022,2007,600000,2540,237402,3,2,1,No,Yes
11030,98053,2007,410000,1350,3926,2,2,1,No,No
15610,98115,2007,540000,1470,1691,3,2,2,Yes,Yes
16271,98038,2007,454450,2810,6000,4,3,2,No,No
16504,98107,2007,630000,1880,2200,3,3,2,Yes,No
16763,98056,2007,449400,2490,5064,4,3,2,No,Yes
16830,98126,2007,194000,820,1060,1,1,1,Yes,No
17394,98045,2007,440000,1790,32379,3,2,1,No,No
18600,98116,2007,725000,2410,5930,2,1,2,Yes,No
19530,98004,2007,1980000,4360,12081,4,4,2,No,No
19628,98053,2007,413800,1440,4421,3,2,1,No,Yes
19663,98103,2007,405000,1060,651,3,2,3,No,Yes
19669,98022,2007,340000,1920,5688,3,2,1,No,No
19732,98023,2007,442000,4168,8485,4,4,2,Yes,Yes
19741,98029,2007,585000,2110,1286,4,3,2,Yes,Yes
19787,98106,2007,230000,1160,1174,3,2,2,Yes,Yes
19873,98136,2007,437000,1460,1452,2,3,2,Yes,Yes
20145,98040,2007,1575000,3620,14250,3,2,2,Yes,No
20294,98136,2007,302860,970,3279,2,1,2,Yes,No
20296,98004,2007,3204000,4810,18851,4,4,2,No,Yes
20336,98144,2007,405000,1160,1073,2,3,2,Yes,No
20374,98011,2007,588000,3110,4464,5,3,2,No,No
20442,98004,2007,2998000,6670,16481,5,4,2,Yes,Yes
20447,98122,2007,405000,1405,1073,2,2,2,Yes,Yes
20478,98103,2007,355000,1220,1186,3,2,3,No,No
20553,98003,2007,298450,2100,9752,5,3,1,Yes,Yes
20646,98115,2007,799000,2550,4794,3,2,2,No,No
20731,98011,2007,540000,2870,4369,5,3,2,Yes,No
20787,98122,2007,411000,1130,1148,2,2,2,Yes,No
20819,98116,2007,1250000,3460,5353,3,3,2,Yes,Yes
20896,98052,2007,850000,3070,7150,4,3,2,No,Yes
21095,98027,2007,556000,1960,1168,3,3,2,Yes,No
21107,98144,2007,380950,1120,1039,2,2,2,Yes,No
21144,98126,2007,1085000,3410,6541,4,3,2,Yes,No
21229,98065,2007,412500,1680,5246,3,2,1,No,Yes
21275,98107,2007,590000,1740,1100,3,3,3,No,Yes
21439,98136,2007,435000,1980,2674,3,2,3,No,Yes
21520,98118,2007,420000,1070,675,1,2,2,Yes,Yes
21562,98059,2007,750000,4500,8130,5,4,2,No,No
548,98106,2008,259950,1070,649,2,2,2,Yes,No
2012,98053,2008,305000,1290,3140,2,1,2,No,No
3474,98038,2008,275000,1380,4500,3,2,1,No,No
3814,98112,2008,2890000,5780,7173,4,4,2,Yes,No
4353,98106,2008,259950,1070,649,2,2,2,Yes,No
6238,98053,2008,300000,1290,2482,2,1,2,No,Yes
11529,98053,2008,265000,1290,2828,2,1,2,No,No
13292,98107,2008,605000,1760,2114,3,3,2,Yes,Yes
13690,98053,2008,362764,1460,4350,3,2,2,No,Yes
14346,98144,2008,321500,730,1942,1,1,1,No,Yes
16183,98053,2008,560000,1680,4647,2,2,1,No,No
16388,98115,2008,935000,3680,7105,4,3,2,Yes,Yes
17312,98109,2008,427500,1090,934,2,2,3,No,Yes
17648,98034,2008,1550000,5120,4600,3,4,3,Yes,No
18305,98199,2008,1230000,4390,6656,5,4,2,Yes,No
19436,98055,2008,333000,2750,9001,4,2,1,No,Yes
19632,98106,2008,380000,1440,3218,3,2,1,Yes,Yes
19706,98103,2008,291000,840,863,2,1,3,No,No
19763,98027,2008,304500,1350,942,4,2,3,No,Yes
19861,98027,2008,293467,1590,942,4,2,3,No,No
19901,98027,2008,288790,1390,745,4,2,3,No,Yes
19913,98122,2008,1262000,2210,3917,2,3,2,Yes,No
19961,98125,2008,305000,1290,1112,3,3,3,No,Yes
20044,98106,2008,545000,1680,7268,5,4,1,Yes,No
20371,98103,2008,1205000,3330,7650,4,3,1,Yes,Yes
20431,98133,2008,659950,3010,7357,5,3,2,No,Yes
20446,98125,2008,366750,1571,2017,3,3,3,No,Yes
20493,98103,2008,670000,1500,761,2,2,3,No,Yes
20496,98136,2008,399000,1110,1155,2,2,3,Yes,No
20507,98053,2008,305000,1290,3383,2,1,2,No,Yes
20524,98122,2008,459000,1480,804,2,2,3,No,Yes
20600,98103,2008,376000,1340,1384,3,2,3,No,No
20605,98106,2008,256950,1070,635,2,2,2,Yes,Yes
20657,98133,2008,560000,2720,7570,4,3,2,No,No
20714,98144,2008,515000,2100,2409,3,3,2,Yes,No
20814,98109,2008,1325000,3180,2758,3,3,2,Yes,Yes
20833,98106,2008,357500,1730,1442,3,3,2,Yes,No
20997,98006,2008,1270000,5520,8313,4,3,2,Yes,No
21003,98177,2008,529000,1540,9714,2,2,2,No,Yes
21048,98027,2008,302059,1390,745,4,2,3,No,No
21237,98027,2008,288790,1350,942,4,2,3,No,No
21327,98122,2008,353000,550,1279,1,1,2,No,Yes
21459,98103,2008,504600,2360,5000,5,3,1,Yes,No
21469,98056,2008,649500,3150,6599,4,3,2,No,No
21486,98033,2008,1720000,4590,35046,5,4,2,No,Yes
21513,98136,2008,406000,1110,1095,2,2,3,Yes,No
21567,98109,2008,710200,1670,2642,4,3,2,Yes,Yes
1276,98144,2009,363000,920,1201,2,2,2,Yes,No
1449,98004,2009,5350000,8000,23985,5,5,2,Yes,No
3344,98144,2009,247300,1140,1118,2,2,2,Yes,No
4604,98166,2009,305000,2470,1831,4,2,2,Yes,No
6106,98072,2009,440000,1160,64469,1,1,1,No,No
8984,98103,2009,503045,1560,2250,3,3,2,No,Yes
13122,98117,2009,510000,1320,1012,3,3,3,No,No
13234,98115,2009,910000,2640,5096,5,3,2,No,Yes
13824,98034,2009,540000,2570,5590,5,3,1,Yes,Yes
15827,98126,2009,280000,1020,889,3,2,2,Yes,No
19191,98115,2009,935000,2700,5001,5,3,2,No,Yes
19630,98030,2009,421500,2793,5703,4,3,2,No,No
19757,98146,2009,385000,2340,9716,4,2,1,No,Yes
20004,98125,2009,399000,1520,1884,3,3,3,No,Yes
20073,98034,2009,1030000,3880,13095,3,4,2,Yes,Yes
20106,98126,2009,399950,1860,2875,3,3,2,Yes,No
20349,98038,2009,349950,1640,4714,3,2,1,No,Yes
20546,98107,2009,455000,1190,1303,2,2,2,Yes,Yes
20629,98125,2009,399950,1296,1051,3,3,3,No,No
20652,98011,2009,715000,3490,6091,5,3,2,No,No
20655,98133,2009,327000,1370,1001,3,3,3,No,Yes
20778,98030,2009,253101,1239,6036,3,2,1,No,Yes
20854,98144,2009,325000,730,1942,1,1,1,No,No
20867,98115,2009,975000,2620,5477,5,3,2,No,Yes
20872,98004,2009,798500,1950,1833,3,3,3,Yes,Yes
20985,98002,2009,343000,2732,7655,6,5,2,No,No
21039,98144,2009,370000,780,1133,2,1,2,No,Yes
21214,98004,2009,785000,1950,1983,3,3,3,Yes,Yes
21217,98115,2009,369500,1108,1128,3,2,3,No,Yes
21253,98022,2009,272000,1870,6551,4,2,1,No,Yes
21443,98053,2009,580000,1870,5300,3,2,1,No,No
21548,98126,2009,327000,1490,1627,2,2,2,Yes,No
11423,98053,2010,589000,1850,4667,2,2,1,No,No
15022,98119,2010,447000,980,1600,2,1,2,No,No
16212,98042,2010,260000,1530,8306,4,3,2,No,Yes
18804,98028,2010,445000,1970,24318,3,3,1,No,No
19640,98014,2010,399000,2100,31550,3,2,1,No,Yes
19788,98053,2010,439950,1440,4666,2,2,1,No,Yes
20114,98053,2010,392137,1460,3696,3,2,2,No,No
20386,98038,2010,342000,1640,4802,3,2,1,No,Yes
20689,98053,2010,485000,1510,3961,2,2,1,No,No
20877,98002,2010,300000,1984,4419,4,3,2,No,Yes
21125,98042,2010,300000,1451,7159,3,2,1,No,Yes
21165,98001,2010,375900,1824,7120,3,2,1,No,Yes
21244,98118,2010,630000,3640,5096,4,3,2,Yes,No
21361,98058,2010,295000,1230,3405,3,2,1,No,Yes
21402,98119,2010,438000,980,1179,2,1,2,No,Yes
3111,98136,2011,870000,2940,7108,4,3,2,Yes,Yes
18671,98033,2011,825000,3070,8474,5,3,2,No,No
19771,98019,2011,465000,3210,7200,5,4,2,Yes,No
20297,98003,2011,950000,5635,9695,4,4,2,Yes,Yes
20666,98115,2011,394950,1131,1304,2,1,3,No,Yes
20738,98014,2011,441000,1720,15000,3,2,1,No,No
20758,98030,2011,348000,2360,6145,3,2,1,No,No
21036,98065,2011,605000,3040,6000,5,4,2,Yes,No
21150,98053,2011,950000,4100,8120,5,4,2,No,Yes
21175,98028,2011,525000,2650,4924,4,3,2,No,No
21336,98115,2011,403000,894,1552,2,1,2,No,Yes
21551,98106,2011,249000,1260,1125,3,2,2,Yes,Yes
3685,98045,2012,535000,2640,5978,3,3,2,No,Yes
4352,98136,2012,458500,1890,1599,3,2,2,Yes,Yes
5646,98056,2012,980000,3460,5400,5,4,2,Yes,Yes
8052,98059,2012,590000,3480,6625,5,3,2,No,No
8146,98065,2012,394000,1750,2731,2,2,2,No,No
16066,98168,2012,280000,2460,9606,4,3,1,No,Yes
16641,98155,2012,467000,1840,3432,3,2,2,No,No
19001,98155,2012,565000,2560,12480,5,3,1,Yes,No
19761,98002,2012,292000,1984,4460,4,3,2,No,No
19766,98115,2012,390000,962,1992,2,1,2,No,Yes
19902,98058,2012,432500,2500,6000,3,3,2,No,Yes
20705,98028,2012,530000,2290,5105,4,3,2,No,No
20775,98058,2012,479950,2260,7163,3,2,1,No,No
21027,98038,2012,395000,2750,7965,4,3,2,No,No
21117,98117,2012,474950,1530,1568,3,3,3,No,No
21521,98053,2012,1408760,4920,50621,4,4,2,Yes,Yes
1932,98188,2013,598800,4470,17877,6,4,3,Yes,No
3749,98004,2013,2450000,4430,9000,5,4,2,No,Yes
9987,98168,2013,330000,2100,7715,5,3,1,Yes,No
15287,98119,2013,1120280,2530,1774,4,4,3,Yes,Yes
19503,98146,2013,445000,2420,11250,5,3,2,No,Yes
19651,98014,2013,155000,1300,6098,3,1,1,No,No
19878,98045,2013,427874,2340,5002,3,3,2,No,Yes
19923,98199,2013,455000,1350,1209,2,2,3,No,No
20049,98075,2013,895000,3240,5562,4,3,2,No,Yes
20363,98056,2013,420000,2630,3149,5,3,2,Yes,No
20711,98148,2013,459000,2530,10000,4,3,2,No,Yes
20810,98006,2013,799900,3650,18223,4,4,2,Yes,Yes
21041,98039,2013,2900000,5190,14600,5,4,2,No,Yes
21060,98178,2013,664950,3190,7081,5,3,1,Yes,No
21149,98004,2013,1800000,4490,10279,5,5,2,Yes,No
21285,98103,2013,716000,1660,1849,3,3,3,No,Yes
21480,98001,2013,312891,2300,8214,5,3,2,No,Yes
21533,98075,2013,1325000,4420,16526,4,4,2,No,No
21581,98065,2013,594866,2780,6000,3,3,2,No,Yes
21582,98065,2013,625000,2780,6000,3,3,2,No,No
