m,d,y,date,t,income,sales
10,1,2003,10/1/2003,32,280123.37432689226,212795.306712058
1,1,2004,1/1/2004,33,294951.4972351232,216367.64738083704
4,1,2004,4/1/2004,34,298333.687065369,213014.76400376548
7,1,2004,7/1/2004,35,297864.3637052183,213931.07505951647
10,1,2004,10/1/2004,36,281972.4827354737,212351.62013797642
1,1,2005,1/1/2005,37,300528.45423970616,223336.07988717232
4,1,2005,4/1/2005,38,300625.17194123764,212972.0369431239
7,1,2005,7/1/2005,39,295766.4302111712,217828.41681415384
10,1,2005,10/1/2005,40,287623.8188806537,214869.58104630408
1,1,2006,1/1/2006,41,304618.24233631854,216565.89218361088
4,1,2006,4/1/2006,42,301852.90420998586,216970.76829060205
7,1,2006,7/1/2006,43,302748.1878117346,219184.45304326934
10,1,2006,10/1/2006,44,292965.9912927963,218827.97362822684
1,1,2007,1/1/2007,45,303295.81583206274,219523.46573958814
4,1,2007,4/1/2007,46,304481.5957696741,223693.2250668112
7,1,2007,7/1/2007,47,305767.2569060212,221461.22330706537
10,1,2007,10/1/2007,48,292519.85338649934,223242.1638910273
1,1,2008,1/1/2008,49,302128.64514252567,222722.52705493523
4,1,2008,4/1/2008,50,305074.77023344213,220824.45175495226
7,1,2008,7/1/2008,51,311527.73620521405,227717.8658331275
10,1,2008,10/1/2008,52,293896.2119277554,224038.79598118243
1,1,2009,1/1/2009,53,309606.09679919225,230113.20984463228
4,1,2009,4/1/2009,54,305304.69502245716,227122.42016681063
7,1,2009,7/1/2009,55,312421.8467149865,227621.44801758017
10,1,2009,10/1/2009,56,295616.55549357965,227450.6783912788
1,1,2010,1/1/2010,57,317041.7829529595,228418.0620053326
4,1,2010,4/1/2010,58,310650.0892930146,230485.5011056294
7,1,2010,7/1/2010,59,312006.3559320236,229624.45295386892
10,1,2010,10/1/2010,60,295418.13791771495,237300.38086475324
1,1,2011,1/1/2011,61,318030.1286934866,231649.88909021064
4,1,2011,4/1/2011,62,314287.6038757535,238016.08704194077
7,1,2011,7/1/2011,63,314176.9224090529,233365.3481531733
10,1,2011,10/1/2011,64,301773.020346135,231487.5235535844
1,1,2012,1/1/2012,65,309767.3152998621,228096.99333878767
4,1,2012,4/1/2012,66,320777.91525405756,239166.92394896166
7,1,2012,7/1/2012,67,312006.95082846214,236007.8630498156
10,1,2012,10/1/2012,68,306302.80489666114,237071.79263324477
1,1,2013,1/1/2013,69,311913.66124828364,241814.65131764277
4,1,2013,4/1/2013,70,316081.11912223056,242845.91505008354
7,1,2013,7/1/2013,71,314682.651021318,244818.68536390192
10,1,2013,10/1/2013,72,302472.97320761427,241907.76345266402
1,1,2014,1/1/2014,73,313955.2674174292,248441.3747744072
4,1,2014,4/1/2014,74,318576.89271026,242968.74202277735
7,1,2014,7/1/2014,75,310843.9416558186,245420.87235288488
10,1,2014,10/1/2014,76,301878.45694341074,246765.3122494721
1,1,2015,1/1/2015,77,316064.5916821626,248517.38914024667
4,1,2015,4/1/2015,78,317744.94435695425,244893.76176718605
7,1,2015,7/1/2015,79,316522.45581906446,246675.97088686575
10,1,2015,10/1/2015,80,296130.42216442997,253576.88194657685
1,1,2016,1/1/2016,81,311181.6993762558,259466.69465919738
4,1,2016,4/1/2016,82,314181.08643755905,253567.02712007987
7,1,2016,7/1/2016,83,316098.71369908383,252280.8808453315
10,1,2016,10/1/2016,84,302100.07888908143,253271.677485235
1,1,2017,1/1/2017,85,316538.01810256764,253970.1546437331
4,1,2017,4/1/2017,86,312578.7924517544,257834.23623252814
7,1,2017,7/1/2017,87,306411.96255381417,260572.95808476058
10,1,2017,10/1/2017,88,302400.28877966135,261004.17250444557
1,1,2018,1/1/2018,89,309890.982049934,262644.0674223182
4,1,2018,4/1/2018,90,311523.0071915115,263236.787661982
7,1,2018,7/1/2018,91,312877.1950680858,261290.10019323346
10,1,2018,10/1/2018,92,297098.6590295591,271524.5618631278
1,1,2019,1/1/2019,93,306540.7493213794,267630.10337589093
4,1,2019,4/1/2019,94,303026.9224417957,268911.20854262
7,1,2019,7/1/2019,95,305111.7941768038,264381.46723681514
10,1,2019,10/1/2019,96,295926.60975776444,276098.0224635223
