Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture
8.17,8.08,8.08,8,8.08,8,10,10,10,8.25,86.67,0.1
8,8,8,8.25,8,8.17,10,10,10,8.17,86.58,0
7.92,8.25,8,8.33,8,8.08,10,10,10,8,86.58,0.08
8.42,8.17,8.17,8,7.58,8,10,10,10,8.17,86.5,0.11
8.5,8.17,8,7.75,8,8,10,10,10,8,86.42,0.12
8.17,7.83,8,8.08,7.83,8,10,10,10,8.42,86.33,0
8,8.08,7.92,8,8.08,8.08,10,10,10,8.08,86.25,0.1
8.08,8,8,8.25,7.92,7.92,10,10,10,8.08,86.25,0.12
8.08,8.17,8,7.92,7.92,7.83,10,10,10,8.33,86.25,0
8.25,8.42,8.08,7.75,7.67,7.83,10,10,10,8.25,86.25,0
7.92,7.75,8.08,8.08,8.08,8.17,10,10,10,8.17,86.25,0.1
7.67,8.17,8,8,8.17,8.08,10,10,10,8.08,86.17,0
7.83,8.33,7.83,8.25,7.58,7.92,10,10,10,8.42,86.17,0.1
8.17,7.92,7.92,7.75,8.33,8,10,10,10,8.08,86.17,0.08
8.42,7.92,8,7.75,7.92,8,10,10,10,8.17,86.17,0.01
8.08,8.17,7.75,8.08,7.75,7.83,10,10,10,8.42,86.08,0.12
8.08,8.08,8,8,7.83,8.08,10,10,10,8,86.08,0.11
8.33,8,8,8,7.75,8,10,10,10,8,86.08,0.11
8.08,8.08,7.83,7.92,8.08,7.92,10,10,10,8.08,86,0
7.75,7.92,7.83,8.08,8.08,8.17,10,10,10,8.17,86,0.12
7.92,8.17,7.83,8.5,7.5,7.92,10,10,10,8.17,86,0.11
8.25,8,7.83,8.08,8,7.92,10,10,10,7.92,86,0.1
7.75,8.08,8,8.25,8,8,10,10,10,7.92,86,0.01
8.33,8.17,7.75,8,7.75,7.83,10,10,10,8.17,86,0
7.92,8.08,7.92,8.08,8.08,7.83,10,10,10,8,85.92,0.1
8.17,8.17,7.92,8.08,7.83,7.75,10,10,10,8,85.92,0.12
8,8,8,8.17,7.83,8,10,10,10,7.92,85.92,0
8,8,7.92,8.08,7.83,8,10,10,10,8,85.83,0.08
7.83,8.08,7.92,8.08,8,7.92,10,10,10,8,85.83,0.1
7.83,8,8,8.17,7.83,8,10,10,10,8,85.83,0.12
8,8,7.83,8.33,7.83,7.83,10,10,10,8,85.83,0.1
7.83,8,7.83,8.17,7.92,8,10,10,10,8,85.75,0.09
8,8,8,8.08,7.92,7.75,10,10,10,8,85.75,0.1
8.33,8.42,7.83,8.33,8,8.25,9.33,9.33,10,7.92,85.75,0.12
7.92,8.17,8,7.92,7.75,7.83,10,10,10,8,85.58,0.1
7.83,8,8,7.75,7.92,8.17,10,10,10,7.92,85.58,0.11
7.83,8,7.92,7.75,8.08,8,10,10,10,8,85.58,0
8,7.75,7.83,7.83,7.67,8.58,10,10,10,7.83,85.5,0.09
7.92,7.92,7.83,8.08,7.83,7.92,10,10,10,8,85.5,0.1
7.83,8,7.83,7.92,7.83,8.08,10,10,10,8,85.5,0.12
8.33,7.92,7.67,7.92,7.67,7.92,10,10,10,8.08,85.5,0.12
8,7.83,7.67,8.33,7.83,8,10,10,10,7.83,85.5,0.11
7.75,7.83,7.83,8.17,7.92,7.83,10,10,10,8.08,85.42,0.1
8.08,8,7.83,7.67,8,7.83,10,10,10,8,85.42,0.12
7.92,7.92,7.75,7.92,7.75,7.92,10,10,10,8.25,85.42,0
8,8,8,7.67,7.75,8,10,10,10,8,85.42,0.11
8.08,7.83,7.83,8.08,7.83,7.83,10,10,10,7.92,85.42,0.01
8,8,8,7.83,7.83,7.75,10,10,10,7.92,85.33,0.1
7.83,7.75,7.83,7.67,7.83,8.58,10,10,10,7.83,85.33,0.11
7.92,8.08,8,7.92,8,8.08,10,10,9.33,8,85.33,0
8,7.58,7.58,7.67,8.08,8.5,10,10,10,7.92,85.33,0.1
7.83,8.08,7.75,8.08,7.92,7.75,10,10,10,7.92,85.33,0
8,7.92,7.92,8.08,7.83,7.75,10,10,10,7.83,85.33,0
7.83,7.83,7.92,8.08,7.75,7.83,10,10,10,8.08,85.33,0.05
7.92,7.83,7.75,8.33,7.75,7.75,10,10,10,8,85.33,0.1
8,7.92,7.75,8,7.92,7.83,10,10,10,7.83,85.25,0.1
8.17,7.92,7.83,8,7.58,7.83,10,10,10,7.92,85.25,0.11
7.58,8.08,7.92,7.83,8,7.92,10,10,10,7.92,85.25,0.12
7.75,7.83,7.67,8,8.08,7.83,10,10,10,8,85.17,0.11
8.25,8,7.67,7.92,7.75,7.67,10,10,10,7.92,85.17,0
7.75,8,7.58,8,8,7.92,10,10,10,7.83,85.08,0.11
8.17,7.83,7.58,8.08,8,7.75,10,10,10,7.67,85.08,0
8.42,8,7.42,8,7.92,7.92,9.33,10,10,8.08,85.08,0.1
7.58,7.83,7.83,7.92,7.83,8.17,10,10,10,7.92,85.08,0.11
7.83,8,7.75,7.75,7.83,7.83,10,10,10,8.08,85.08,0.11
8.08,8.17,7.92,8,8.08,8,9.33,9.33,10,8.17,85.08,0.01
7.67,8,7.83,8,7.92,7.83,10,10,10,7.83,85.08,0
7.5,7.92,8.25,7.83,7.92,7.75,10,10,10,7.92,85.08,0
8.17,7.92,7.75,7.75,7.67,7.75,10,10,10,8,85,0.11
8,7.92,7.75,7.92,7.75,7.83,10,10,10,7.83,85,0
7.83,8,7.58,7.92,7.92,7.83,10,10,10,7.92,85,0.12
7.83,8,7.83,7.75,7.67,7.83,10,10,10,8.08,85,0.09
8.17,7.83,7.92,7.75,7.67,7.83,10,10,10,7.83,85,0.11
7.75,7.83,7.75,8.08,8,7.75,10,10,10,7.83,85,0
8,8,7.83,7.83,7.67,7.67,10,10,10,8,85,0.12
7.92,8.17,7.75,8.08,7.42,7.83,10,10,10,7.83,85,0
7.75,7.92,7.75,7.75,8,8,10,10,10,7.83,85,0
7.83,8.08,7.67,8,7.75,7.67,10,10,10,8,85,0.04
7.92,7.92,7.67,7.83,7.92,7.83,10,10,10,7.83,84.92,0
7.92,7.83,7.75,7.83,7.75,8,10,10,10,7.83,84.92,0.12
7.67,7.83,8,7.58,8,7.92,10,10,10,7.92,84.92,0.11
8,7.83,7.83,7.92,7.75,7.75,10,10,10,7.83,84.92,0.12
7.75,7.92,7.83,7.75,7.75,8,10,10,10,7.92,84.92,0.11
7.75,8,7.75,7.83,7.5,7.92,10,10,10,8.17,84.92,0.11
8,7.92,7.75,7.75,8,7.75,10,10,10,7.75,84.92,0.11
8,8,7.75,8,7.5,7.75,10,10,10,7.92,84.92,0.12
8,7.67,7.83,8.17,7.92,7.75,10,10,10,7.58,84.92,0.06
7.92,7.58,7.83,7.83,7.83,7.83,10,10,10,8,84.83,0
7.75,7.92,7.67,7.67,8.25,7.75,10,10,10,7.83,84.83,0.12
7.67,7.75,7.75,7.75,7.83,8,10,10,10,8.08,84.83,0
7.75,7.92,7.83,7.92,7.75,7.67,10,10,10,8,84.83,0.1
7.42,7.92,7.92,8,7.83,7.83,10,10,10,7.92,84.83,0.1
7.75,7.75,7.75,7.75,8,7.75,10,10,10,8,84.75,0.12
7.92,7.83,7.58,7.92,7.75,7.83,10,10,10,7.92,84.75,0.13
7.83,7.75,8,7.67,7.67,7.67,10,10,10,8.17,84.75,0.11
7.75,8,8,8.33,7.67,7.92,10,10,9.33,7.75,84.75,0.15
7.83,7.58,7.58,7.83,7.75,7.67,10,10,10,8.5,84.75,0.18
7.83,7.83,7.5,8,7.83,7.67,10,10,10,8,84.67,0
7.92,7.83,7.75,7.75,7.75,7.75,10,10,10,7.92,84.67,0.12
7.75,7.75,7.75,7.42,8.08,7.83,10,10,10,8.08,84.67,0.12
8.08,7.75,7.67,7.83,7.5,7.92,10,10,10,7.92,84.67,0.1
7.75,7.83,7.58,8,7.92,7.75,10,10,10,7.83,84.67,0.1
8.17,8,7.83,7.17,7.83,7.75,10,10,10,7.92,84.67,0.12
8.08,7.83,7.75,7.83,7.58,7.67,10,10,10,7.92,84.67,0.1
7.67,7.58,7.75,7.75,7.67,8.58,10,10,10,7.67,84.67,0.08
8,7.58,7.83,7.75,7.75,7.75,10,10,10,8,84.67,0.11
8.08,7.83,7.75,7.83,7.92,8,10,10,9.33,7.92,84.67,0
8,7.92,7.75,7.75,7.75,7.75,10,10,10,7.75,84.67,0.11
7.75,7.83,7.75,7.83,7.75,7.83,10,10,10,7.92,84.67,0
7.75,7.92,7.83,8,7.58,7.75,10,10,10,7.83,84.67,0.11
8,7.83,7.67,7.83,7.67,8,10,10,10,7.67,84.67,0.11
7.67,7.83,7.67,8,7.67,7.83,10,10,10,8,84.67,0.12
7.83,7.58,7.67,7.92,7.92,7.83,10,10,10,7.92,84.67,0.13
7.92,7.83,7.75,7.92,7.67,7.75,10,10,10,7.83,84.67,0.11
7.67,7.83,7.75,7.75,7.92,7.83,10,10,10,7.92,84.67,0
7.42,7.75,7.75,8,8,7.92,10,10,10,7.83,84.67,0.2
7.92,7.75,7.83,7.75,7.58,7.92,10,10,10,7.83,84.58,0.11
7.83,7.67,7.58,7.92,7.67,7.83,10,10,10,8.08,84.58,0
7.92,7.83,7.58,8,7.83,7.67,10,10,10,7.75,84.58,0
7.83,7.83,7.83,7.75,7.58,7.83,10,10,10,7.92,84.58,0.1
7.75,7.83,7.67,7.92,7.75,7.83,10,10,10,7.83,84.58,0.11
8,7.92,7.67,7.58,7.58,7.67,10,10,10,8.17,84.58,0.09
7.67,7.67,7.58,7.75,7.58,8.5,10,10,10,7.83,84.58,0
7.75,7.75,7.83,7.75,7.58,8,10,10,10,7.92,84.58,0
7.75,7.75,7.75,8.08,7.75,7.75,10,10,10,7.75,84.58,0
7.67,7.83,7.83,8,7.58,7.92,10,10,10,7.75,84.58,0
7.75,7.83,7.75,8,7.83,7.67,10,10,10,7.75,84.58,0.12
7.42,7.67,7.75,7.75,8.08,7.83,10,10,10,8.08,84.58,0.11
8,8,7.75,7.75,7.58,7.75,10,10,10,7.75,84.58,0.12
8.5,8,7.5,7.75,7.5,7.83,10,10,10,7.5,84.58,0.11
7.92,7.67,7.92,7.75,7.67,7.58,10,10,10,8,84.5,0.1
7.92,7.75,7.67,7.75,7.83,7.75,10,10,10,7.83,84.5,0.11
7.75,7.92,7.67,7.83,7.75,7.67,10,10,10,7.92,84.5,0.1
7.92,7.83,7.83,7.83,7.58,7.58,10,10,10,7.92,84.5,0.11
8.08,7.67,7.83,7.83,7.67,7.67,10,10,10,7.75,84.5,0.12
7.67,8,7.75,7.83,7.75,7.58,10,10,10,7.92,84.5,0
8.17,7.83,7.67,7.83,7.67,7.83,10,10,10,7.5,84.5,0.11
7.92,7.83,7.67,8,7.67,7.75,10,10,10,7.67,84.5,0.11
8,7.92,7.42,8.08,7.5,7.67,10,10,10,7.92,84.5,0.12
7.92,7.83,7.75,7.75,7.75,7.83,10,10,10,7.67,84.5,0.11
7.67,8,7.67,8,7.5,7.83,10,10,10,7.83,84.5,0.11
7.81,7.81,7.88,7.75,7.38,8.25,9.5,10,10,8.13,84.5,0
8.17,7.67,7.75,7.75,7.67,7.75,10,10,10,7.75,84.5,0
7.58,7.83,7.83,8,7.67,7.58,10,10,10,7.92,84.42,0.1
7.67,7.67,7.83,7.58,7.83,7.83,10,10,10,8,84.42,0
7.92,7.83,7.75,7.67,7.92,7.67,10,10,10,7.67,84.42,0
7.92,7.75,7.67,7.92,7.67,7.75,10,10,10,7.75,84.42,0
7.83,7.83,7.75,8,7.5,7.75,10,10,10,7.75,84.42,0.11
7.92,7.92,7.5,7.83,7.5,7.92,10,10,10,7.83,84.42,0.11
7.75,7.92,7.75,7.67,7.83,7.67,10,10,10,7.83,84.42,0.12
7.5,7.75,7.83,7.92,7.92,7.75,10,10,10,7.75,84.42,0.2
7.33,7.58,7.83,7.75,7.75,7.92,10,10,10,8.17,84.33,0.11
7.92,8,7.75,7.67,7.67,7.75,10,10,10,7.58,84.33,0.1
7.58,7.75,7.5,7.83,7.67,8.5,10,10,10,7.5,84.33,0
7.58,7.92,7.58,7.75,7.92,7.75,10,10,10,7.83,84.33,0.11
7.67,7.67,7.75,7.83,7.75,7.83,10,10,10,7.83,84.33,0
7.75,7.67,8,7.67,8.08,7.83,10,10,10,7.33,84.33,0.11
7.75,7.58,7.33,7.83,7.58,8.08,10,10,10,8.17,84.33,0
8,7.75,7.75,7.83,7.5,7.67,10,10,10,7.83,84.33,0.12
8.17,8,7.5,7.75,7.5,7.67,10,10,10,7.75,84.33,0
8,8,7.5,7.5,7.67,7.75,10,10,10,7.92,84.33,0.02
7.75,7.75,7.92,7.75,7.5,7.92,10,10,10,7.75,84.33,0
7.5,7.67,7.75,7.67,7.92,7.92,10,10,10,7.92,84.33,0.04
7.92,7.75,7.75,7.67,7.67,7.83,10,10,10,7.67,84.25,0.12
7.83,7.75,7.75,7.42,7.83,7.67,10,10,10,8,84.25,0.12
7.83,7.58,7.75,7.58,7.67,8,10,10,10,7.83,84.25,0.11
7.75,7.75,7.58,7.92,7.75,7.75,10,10,10,7.75,84.25,0.11
7.75,7.92,7.5,8.08,7.58,7.67,10,10,10,7.75,84.25,0.1
7.83,7.83,7.58,7.75,7.75,7.75,10,10,10,7.75,84.25,0.1
7.67,7.67,7.75,7.75,7.67,7.92,10,10,10,7.83,84.25,0.11
7.83,7.67,7.75,7.58,7.92,7.75,10,10,10,7.75,84.25,0.12
7.83,7.75,7.83,7.58,7.67,7.75,10,10,10,7.83,84.25,0.12
7.42,7.67,7.83,7.75,7.92,7.83,10,10,10,7.83,84.25,0.12
7.83,7.67,7.75,7.83,7.67,7.67,10,10,10,7.83,84.25,0.12
7.83,7.75,7.75,7.75,7.67,7.75,10,10,10,7.75,84.25,0.12
7.83,7.83,7.5,7.92,7.58,7.75,10,10,10,7.83,84.25,0.1
7.58,7.5,7.75,7.83,7.92,7.83,10,10,10,7.83,84.25,0.11
7.33,7.92,7.92,7.92,7.92,8.08,10,10,9.33,7.83,84.25,0.11
7.83,7.92,7.67,7.83,7.5,7.75,10,10,10,7.75,84.25,0.12
7.83,7.83,7.75,7.67,7.83,7.58,10,10,10,7.75,84.25,0.12
7.83,7.92,7.67,7.75,7.5,7.75,10,10,10,7.83,84.25,0.1
8.17,7.75,7.58,7.67,7.83,7.58,10,10,10,7.67,84.25,0.13
7.75,7.83,7.58,7.83,7.67,7.75,10,10,10,7.75,84.17,0.13
7.83,7.75,7.58,7.67,7.75,7.83,10,10,10,7.75,84.17,0
7.92,7.75,7.67,7.67,7.5,7.67,10,10,10,8,84.17,0.09
7.75,7.75,7.58,8,7.67,7.83,10,10,10,7.58,84.17,0.11
7.75,7.92,7.58,7.92,7.67,7.67,10,10,10,7.67,84.17,0.1
7.58,7.83,7.58,7.83,7.83,7.67,10,10,10,7.83,84.17,0.1
8,7.5,7.5,7.67,8,7.83,10,10,10,7.67,84.17,0
7.67,7.83,7.83,7.5,7.67,7.83,10,10,10,7.83,84.17,0.12
7.67,7.75,7.75,7.67,7.83,7.75,10,10,10,7.75,84.17,0
7.67,7.75,7.67,7.75,7.5,8,10,10,10,7.83,84.17,0
7.5,7.92,7.58,7.83,7.75,7.83,10,10,10,7.75,84.17,0.1
7.92,7.75,7.75,7.75,7.75,7.58,10,10,10,7.67,84.17,0.13
7.67,7.5,7.67,7.42,7.83,8.58,10,10,10,7.5,84.17,0.12
7.67,7.75,7.67,7.75,7.75,7.75,10,10,10,7.83,84.17,0.11
7.58,7.75,7.75,7.75,7.75,7.83,10,10,10,7.75,84.17,0.08
7.58,7.83,7.75,7.67,7.67,8,10,10,10,7.67,84.17,0.11
7.92,7.75,7.67,7.67,7.83,7.92,10,10,10,7.42,84.17,0.11
8.42,8.08,7.5,7.17,7.58,8.17,9.33,10,10,7.92,84.17,0.11
7.75,7.75,7.75,7.75,7.83,7.75,10,10,10,7.58,84.17,0
7.83,7.5,7.5,8,7.83,7.83,10,10,10,7.67,84.17,0.11
7.83,7.75,7.5,7.83,7.83,7.75,10,10,10,7.67,84.17,0.11
7.81,7.88,7.56,7.75,7.63,7.75,10,10,10,7.75,84.13,0.12
7.83,7.5,7.42,7.5,7.83,8.5,10,10,10,7.5,84.08,0
7.58,7.67,7.67,7.67,7.75,7.83,10,10,10,7.92,84.08,0.1
8,7.75,7.5,7.58,7.92,7.67,10,10,10,7.67,84.08,0.1
7.92,7.75,7.67,7.75,7.67,7.67,10,10,10,7.67,84.08,0
7.58,7.75,7.67,8,7.75,7.67,10,10,10,7.67,84.08,0.1
7.83,7.75,7.83,7.83,7.42,8.08,9.33,10,10,8,84.08,0.11
7.67,7.75,7.67,7.75,7.67,7.75,10,10,10,7.83,84.08,0.11
7.92,7.92,7.83,8,7.92,7.92,10,10,8.67,7.92,84.08,0.09
7.58,7.75,7.67,7.75,7.83,7.75,10,10,10,7.67,84,0.08
7.83,7.75,7.67,7.75,7.33,7.75,10,10,10,7.92,84,0.11
7.42,7.83,7.75,7.92,7.75,7.58,10,10,10,7.75,84,0.1
7.67,7.83,7.58,7.92,7.75,7.67,10,10,10,7.58,84,0.12
7.67,7.67,7.83,7.58,7.58,7.83,10,10,10,7.83,84,0.11
7.92,7.67,7.42,7.92,7.75,7.83,10,10,10,7.5,84,0.1
7.75,7.83,7.5,7.83,7.58,7.67,10,10,10,7.83,84,0.1
7.67,7.75,7.67,7.67,7.67,7.75,10,10,10,7.83,84,0.12
7.58,7.42,7.75,7.92,7.75,7.92,10,10,10,7.67,84,0.12
7.67,7.67,7.5,7.5,7.67,7.67,10,10,10,8.33,84,0.12
7.75,7.75,7.5,7.58,7.67,7.92,10,10,10,7.83,84,0.09
7.58,7.83,7.67,7.25,8,7.75,10,10,10,7.92,84,0.1
7.67,7.83,7.67,7.75,7.67,7.75,10,10,10,7.67,84,0.11
7.67,7.83,7.5,7.75,7.92,7.67,10,10,10,7.67,84,0
7.92,8.17,8.17,8.42,8.08,8.17,8.67,8.67,9.33,8.42,84,0.12
7.67,7.75,7.67,7.75,7.83,7.67,10,10,10,7.67,84,0
7.92,7.75,7.58,7.67,7.67,7.83,10,10,10,7.58,84,0.1
7.58,7.75,7.58,7.75,7.58,7.75,10,10,10,8,84,0.06
7.5,7.75,7.58,7.5,7.58,7.5,10,10,10,8.5,83.92,0
7.83,7.83,7.58,7.92,7.42,7.5,10,10,10,7.83,83.92,0.11
7.67,7.75,7.5,7.67,7.67,7.83,10,10,10,7.83,83.92,0.1
7.58,7.67,7.67,7.75,7.58,7.83,10,10,10,7.83,83.92,0.11
7.83,7.75,7.83,7.75,7.83,7.75,9.33,10,10,7.83,83.92,0.11
7.75,7.67,7.5,7.75,7.83,7.75,10,10,10,7.67,83.92,0.11
7.75,7.58,7.5,7.83,7.75,7.92,10,10,10,7.58,83.92,0
7.75,7.75,7.58,7.75,7.75,7.67,10,10,10,7.67,83.92,0
7.92,7.67,7.5,7.83,7.58,7.67,10,10,10,7.75,83.92,0
7.83,7.75,7.58,7.58,7.75,7.75,10,10,10,7.67,83.92,0
7.75,7.58,7.67,7.83,7.83,7.67,10,10,10,7.58,83.92,0
8,7.92,7.92,7.92,7.67,7.33,10,10,10,7.17,83.92,0.06
7.67,7.83,7.67,7.75,7.67,7.83,10,10,10,7.5,83.92,0.12
7.67,7.75,7.58,7.67,7.75,7.83,10,10,10,7.67,83.92,0.12
7.5,7.67,7.58,7.83,7.75,7.75,10,10,10,7.83,83.92,0.11
7.75,7.92,7.83,7.92,7.75,7.67,9.33,10,10,7.75,83.92,0
7.92,7.58,7.5,7.83,7.58,7.67,10,10,10,7.75,83.83,0
7.83,7.67,7.5,7.75,7.75,7.75,10,10,10,7.58,83.83,0
7.67,7.67,7.75,7.67,7.5,7.75,10,10,10,7.83,83.83,0
7.75,7.75,7.5,7.75,7.83,7.58,10,10,10,7.67,83.83,0.11
7.75,7.67,7.5,7.75,7.75,7.67,10,10,10,7.75,83.83,0
7.25,7.58,7.42,8,7.75,7.83,10,10,10,8,83.83,0
7.67,7.75,7.67,7.75,7.42,7.75,10,10,10,7.83,83.83,0
7.75,7.75,7.67,7.67,7.58,7.67,10,10,10,7.75,83.83,0.12
7.67,7.67,7.58,7.5,7.83,8.17,10,10,9.33,8.08,83.83,0
7.83,7.42,7.5,7.83,7.75,7.83,10,10,10,7.67,83.83,0.1
7.58,7.83,7.33,8,7.58,7.75,10,10,10,7.75,83.83,0.1
7.92,7.5,7.33,7.67,8.17,7.5,10,10,10,7.75,83.83,0.1
7.5,7.67,7.58,7.75,7.83,7.83,10,10,10,7.67,83.83,0.09
7.67,7.58,7.58,7.83,7.58,7.67,10,10,10,7.92,83.83,0.11
7.5,7.83,7.5,7.83,7.83,7.67,10,10,10,7.67,83.83,0.11
7.67,8,7.67,7.42,7.67,7.5,10,10,10,7.92,83.83,0.1
7.67,7.58,7.5,7.75,7.75,7.75,10,10,10,7.83,83.83,0.11
7.83,7.83,7.58,7.67,7.5,7.58,10,10,10,7.83,83.83,0.12
7.75,7.75,7.58,8,7.67,7.58,10,10,10,7.5,83.83,0.02
7.5,7.83,7.58,7.58,7.75,7.83,10,10,10,7.75,83.83,0.01
7.58,7.83,7.58,8,7.83,7.5,10,10,10,7.5,83.83,0.1
7.75,7.58,7.5,7.58,7.75,7.75,10,10,10,7.83,83.75,0.11
7.67,7.67,7.58,7.75,7.67,7.67,10,10,10,7.75,83.75,0.11
7.83,7.83,7.58,7.58,7.58,7.58,10,10,10,7.75,83.75,0.11
7.67,7.67,7.58,7.58,7.67,7.83,10,10,10,7.75,83.75,0
7.92,7.75,7.5,7.67,7.75,7.5,10,10,10,7.67,83.75,0
7.83,7.75,7.67,7.5,7.58,7.67,10,10,10,7.75,83.75,0.1
7.75,7.67,7.5,7.67,7.58,7.83,10,10,10,7.75,83.75,0
8,7.92,7.58,7.75,7.33,7.5,10,10,10,7.67,83.75,0.12
7.83,7.83,7.83,7.67,8,8.17,9.33,9.33,10,7.75,83.75,0.12
7.67,7.67,7.67,7.92,7.5,7.67,10,10,10,7.67,83.75,0
7.67,7.42,7.42,7.42,8,8.33,10,10,10,7.5,83.75,0
7.58,7.67,7.75,7.67,7.67,7.67,10,10,10,7.75,83.75,0
7.75,7.67,7.75,7.58,7.42,8,10,10,10,7.58,83.75,0.11
7.25,7.42,7.67,7.58,7.83,8.25,10,10,10,7.75,83.75,0
7.83,7.58,7.58,7.5,7.75,7.67,10,10,10,7.83,83.75,0.13
7.67,7.58,7.58,7.67,7.75,7.75,10,10,10,7.75,83.75,0.11
7.83,7.83,7.58,7.33,7.42,7.67,10,10,10,8.08,83.75,0.1
7.75,7.67,7.25,7.25,7.58,8.5,10,10,10,7.75,83.75,0.06
7.83,7.67,7.75,7.67,7.58,7.5,10,10,10,7.75,83.75,0
7.67,7.83,7.5,7.67,7.67,7.5,10,10,10,7.83,83.67,0.11
8.08,7.67,7.67,7.58,7.25,7.67,10,10,10,7.75,83.67,0.11
7.5,7.5,7.67,7.67,8,8,10,10,10,7.33,83.67,0.1
7.67,7.75,7.67,7.67,7.83,7.58,10,10,10,7.5,83.67,0.1
7.58,7.75,7.58,7.75,7.58,7.58,10,10,10,7.83,83.67,0.11
7.5,7.67,7.33,7.92,7.83,7.67,10,10,10,7.75,83.67,0.1
7.33,7.67,7.67,7.5,7.67,7.5,10,10,10,8.33,83.67,0.11
7.5,7.75,7.58,7.83,7.67,7.58,10,10,10,7.75,83.67,0.12
7.5,7.75,7.5,7.75,7.67,7.67,10,10,10,7.83,83.67,0.11
8,7.5,7.33,8,8,8,9.33,10,10,7.5,83.67,0.1
7.83,7.75,7.67,7.58,7.58,7.67,10,10,10,7.58,83.67,0
7.67,7.67,7.67,7.67,7.33,7.75,10,10,10,7.92,83.67,0
7.67,7.67,7.42,7.67,8,7.75,10,10,10,7.5,83.67,0.12
7.83,7.67,7.33,7.67,7.67,7.83,10,10,10,7.67,83.67,0.11
7.75,7.75,7.58,7.83,7.17,7.75,10,10,10,7.83,83.67,0.11
8.17,8.17,7.83,7.67,8.08,7.75,9.33,9.33,9.33,8,83.67,0.11
7.67,8.17,7.5,7.42,7.58,7.83,10,10,10,7.5,83.67,0.11
7.67,7.5,7.5,7.33,7.83,8.25,10,10,10,7.58,83.67,0.12
8.17,7.67,7.58,7.58,7.42,7.67,10,10,10,7.58,83.67,0.12
7.67,7.5,7.33,8,7.67,7.67,10,10,10,7.83,83.67,0.1
7.75,8,7.92,8.08,7.75,8,9.33,9.33,9.33,8.17,83.67,0
7.58,7.67,7.58,7.58,7.67,7.58,10,10,10,7.92,83.58,0.11
7.75,7.75,7.5,7.83,7.58,7.58,10,10,10,7.58,83.58,0.11
7.75,7.75,7.58,7.58,7.67,7.58,10,10,10,7.67,83.58,0.11
7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,7.75,83.58,0.1
7.67,7.75,7.58,7.67,7.75,7.58,10,10,10,7.58,83.58,0.12
7.75,7.75,7.58,7.58,7.5,7.67,10,10,10,7.75,83.58,0.12
7.75,7.67,7.58,7.67,7.5,7.67,10,10,10,7.75,83.58,0
7.67,7.67,7.42,7.75,7.75,7.67,10,10,10,7.67,83.58,0.12
7.67,7.58,7.67,7.67,7.67,7.67,10,10,10,7.67,83.58,0
7.67,7.58,7.67,7.58,7.67,7.75,10,10,10,7.67,83.58,0.12
