price,size,bathrooms,bedrooms,floors,view,yearBuilt,distAirport,distCityCenter
279514.01,201.0,1.0,1.0,1.0,1.0,1970.0,33.32,28.92
240873.67,284.0,1.0,1.0,1.0,1.0,1959.0,34.33,24.48
320037.44,201.0,1.0,1.0,1.0,5.0,1951.0,35.96,28.7
250237.38,278.0,1.0,1.0,4.0,6.0,1958.0,41.47,35.49
249280.93,203.0,1.0,1.0,1.0,1.0,1989.0,32.39,27.52
251959.42,207.0,1.0,1.0,1.0,1.0,1987.0,32.94,29.3
258231.02,201.0,1.0,1.0,3.0,4.0,1963.0,36.42,33.88
212811.44,265.0,1.0,1.0,1.0,1.0,1956.0,43.53,29.28
238723.11,201.0,1.0,1.0,1.0,1.0,1982.0,27.11,23.38
226111.36,260.0,1.0,1.0,2.0,1.0,1953.0,31.18,34.02
309156.52,215.0,1.0,1.0,1.0,3.0,1962.0,40.82,24.13
290528.55,201.0,1.0,1.0,2.0,5.0,1968.0,39.6,36.95
132159.61,273.0,1.0,1.0,1.0,5.0,1953.0,33.69,22.53
231574.29,201.0,1.0,1.0,1.0,1.0,1981.0,36.81,31.75
175459.89,201.0,1.0,1.0,2.0,5.0,1981.0,33.88,27.52
294339.16,201.0,1.0,1.0,2.0,1.0,1983.0,36.15,23.91
314130.79,201.0,1.0,1.0,1.0,1.0,1972.0,34.89,23.51
241326.06,201.0,1.0,1.0,1.0,1.0,1981.0,34.65,28.26
252785.71,201.0,1.0,1.0,1.0,1.0,1968.0,33.36,36.68
248295.2,229.0,1.0,1.0,1.0,1.0,1971.0,30.73,22.98
324909.98,288.0,1.0,1.0,1.0,1.0,1975.0,28.86,24.75
313151.59,201.0,1.0,1.0,1.0,5.0,1959.0,29.21,30.45
230384.36,201.0,1.0,1.0,1.0,1.0,1972.0,38.83,27.22
320909.48,220.0,1.0,1.0,1.0,3.0,1978.0,40.62,26.82
283006.01,216.0,1.0,1.0,1.0,1.0,1970.0,38.55,27.98
295881.06,201.0,1.0,1.0,1.0,2.0,1974.0,36.4,28.14
370693.09,248.0,1.0,1.0,1.0,1.0,1988.0,29.69,34.08
324098.31,318.0,1.0,1.0,1.0,5.0,1975.0,32.13,29.8
190700.72,201.0,1.0,1.0,1.0,1.0,1980.0,28.0,24.75
299092.53,208.0,1.0,1.0,1.0,1.0,1979.0,35.66,37.59
239179.84,201.0,1.0,1.0,1.0,1.0,1985.0,29.73,33.45
251032.03,201.0,1.0,1.0,1.0,5.0,1963.0,44.91,33.45
171412.12,201.0,1.0,1.0,1.0,1.0,1980.0,37.62,27.27
300361.61,204.0,1.0,1.0,1.0,4.0,1983.0,30.87,29.5
116260.75,218.0,1.0,1.0,1.0,4.0,1988.0,39.5,33.15
238550.86,314.0,1.0,1.0,1.0,1.0,1988.0,28.83,27.59
205661.55,240.0,1.0,1.0,1.0,1.0,1965.0,33.62,35.46
175901.63,201.0,1.0,1.0,1.0,4.0,1981.0,35.84,30.3
179515.7,201.0,1.0,1.0,2.0,6.0,1968.0,30.76,30.12
265006.2,248.0,1.0,1.0,1.0,1.0,1990.0,51.93,37.33
224885.68,233.0,1.0,1.0,1.0,1.0,1960.0,30.7,36.53
285365.27,201.0,1.0,1.0,1.0,1.0,1951.0,40.39,29.96
176307.24,214.0,1.0,1.0,1.0,4.0,1977.0,34.93,23.19
182887.17,309.0,1.0,1.0,1.0,5.0,1956.0,31.63,27.92
283193.08,221.0,1.0,1.0,1.0,2.0,1969.0,29.4,32.09
214842.47,201.0,1.0,1.0,1.0,4.0,1970.0,31.12,28.22
271618.03,201.0,1.0,1.0,1.0,3.0,1982.0,37.74,31.94
243935.67,226.0,1.0,1.0,1.0,1.0,1985.0,31.3,39.82
281841.04,238.0,1.0,1.0,1.0,4.0,1985.0,40.15,33.27
312431.2,201.0,1.0,1.0,1.0,3.0,1956.0,37.69,25.62
227115.12,210.0,1.0,1.0,1.0,2.0,1958.0,39.44,28.88
249446.83,242.0,1.0,1.0,1.0,3.0,1989.0,37.16,26.69
202438.35,217.0,1.0,1.0,2.0,1.0,1975.0,41.5,22.5
207282.44,201.0,1.0,1.0,1.0,1.0,1969.0,37.07,34.25
255476.76,201.0,1.0,1.0,3.0,3.0,1976.0,36.82,20.7
264348.77,231.0,1.0,1.0,3.0,6.0,1977.0,31.59,20.7
212751.91,230.0,1.0,1.0,1.0,1.0,1983.0,28.8,26.45
229833.51,235.0,1.0,1.0,1.0,1.0,1962.0,35.09,26.21
247325.15,201.0,1.0,1.0,1.0,1.0,1981.0,40.03,28.91
243880.85,257.0,1.0,1.0,1.0,1.0,1985.0,36.76,24.97
243820.17,201.0,1.0,1.0,1.0,4.0,1976.0,33.98,34.44
202986.32,267.0,1.0,1.0,1.0,1.0,1960.0,31.64,26.92
259345.78,201.0,1.0,1.0,1.0,1.0,1979.0,36.81,32.99
338022.47,253.0,1.0,1.0,1.0,1.0,1976.0,30.37,29.3
203457.42,201.0,1.0,1.0,1.0,4.0,1960.0,33.63,32.13
275022.56,242.0,1.0,1.0,1.0,6.0,1957.0,37.75,36.98
260235.81,212.0,1.0,1.0,1.0,1.0,1983.0,36.49,41.16
201929.59,294.0,1.0,1.0,1.0,2.0,1976.0,33.84,27.85
247298.89,201.0,1.0,1.0,1.0,1.0,1968.0,36.93,28.56
234294.98,201.0,1.0,1.0,1.0,5.0,1977.0,34.84,30.8
241260.37,243.0,1.0,1.0,1.0,1.0,1971.0,44.69,33.45
209001.87,201.0,1.0,1.0,1.0,5.0,1964.0,39.43,33.07
317251.34,201.0,1.0,1.0,1.0,5.0,1969.0,27.27,34.89
241878.26,201.0,1.0,1.0,3.0,3.0,1967.0,36.09,23.48
242915.22,201.0,1.0,1.0,1.0,6.0,1964.0,31.62,25.68
167008.13,201.0,1.0,1.0,1.0,3.0,1969.0,40.74,35.13
267664.96,201.0,1.0,1.0,2.0,1.0,1983.0,41.84,32.03
340648.99,232.0,1.0,1.0,2.0,1.0,1959.0,29.59,27.9
201124.95,232.0,1.0,1.0,1.0,1.0,1963.0,31.86,32.33
232865.8,201.0,1.0,1.0,2.0,1.0,1963.0,41.38,33.54
248689.56,246.0,1.0,1.0,2.0,1.0,1961.0,33.65,38.7
198634.09,201.0,1.0,1.0,2.0,1.0,1981.0,32.29,30.34
171531.59,201.0,1.0,1.0,3.0,5.0,1989.0,35.65,40.22
275642.11,201.0,1.0,1.0,1.0,1.0,1971.0,34.02,38.35
221353.85,201.0,1.0,1.0,1.0,2.0,1985.0,40.12,29.32
321805.1,242.0,1.0,1.0,2.0,2.0,1987.0,32.07,22.24
272492.79,206.0,1.0,1.0,2.0,1.0,1972.0,31.13,34.13
218270.66,201.0,1.0,1.0,3.0,5.0,1986.0,35.35,33.06
236219.97,233.0,1.0,1.0,1.0,1.0,1988.0,38.88,34.31
159819.75,201.0,1.0,1.0,1.0,1.0,1987.0,45.56,26.07
273031.15,201.0,1.0,1.0,1.0,4.0,1958.0,29.94,35.22
135799.31,261.0,1.0,1.0,1.0,6.0,1978.0,37.11,34.32
234677.08,201.0,1.0,1.0,1.0,2.0,1972.0,39.06,31.54
197766.4,238.0,1.0,1.0,1.0,1.0,1982.0,43.69,34.75
240337.94,201.0,1.0,1.0,2.0,3.0,1977.0,42.92,19.07
287946.05,201.0,1.0,1.0,1.0,3.0,1989.0,30.84,34.49
195734.7,274.0,1.0,1.0,1.0,2.0,1960.0,39.38,29.1
162200.04,246.0,1.0,1.0,1.0,1.0,1987.0,39.96,31.94
267183.78,201.0,1.0,1.0,1.0,3.0,1987.0,37.3,37.43
296136.53,201.0,1.0,1.0,1.0,2.0,1970.0,29.2,37.44
366794.14,233.0,1.0,1.0,1.0,1.0,1961.0,36.45,29.22
240669.28,201.0,1.0,1.0,1.0,1.0,1981.0,39.24,37.46
238398.12,201.0,1.0,1.0,1.0,4.0,1959.0,42.8,37.27
208641.4,201.0,1.0,1.0,1.0,1.0,1988.0,34.4,29.9
221610.1,250.0,1.0,1.0,1.0,3.0,1971.0,38.58,33.26
241583.88,274.0,1.0,1.0,1.0,4.0,1960.0,38.08,29.05
218512.21,240.0,1.0,1.0,1.0,4.0,1980.0,35.22,23.64
259912.24,244.0,1.0,1.0,1.0,4.0,1967.0,30.02,18.85
275239.9,201.0,1.0,1.0,1.0,1.0,1967.0,30.93,28.49
359391.9,210.0,1.0,1.0,1.0,1.0,1969.0,48.01,21.56
235876.79,310.0,1.0,1.0,1.0,1.0,1989.0,41.45,29.78
225028.94,201.0,1.0,1.0,1.0,5.0,1979.0,22.33,41.29
216629.29,201.0,1.0,1.0,1.0,5.0,1965.0,32.72,26.32
275756.74,201.0,1.0,1.0,2.0,3.0,1966.0,38.44,29.5
246513.18,201.0,1.0,1.0,1.0,2.0,1955.0,35.06,31.46
247282.65,201.0,1.0,1.0,1.0,5.0,1983.0,37.83,33.56
197883.16,280.0,1.0,1.0,1.0,3.0,1981.0,37.62,26.69
231582.14,222.0,1.0,1.0,1.0,1.0,1971.0,29.9,27.18
307967.62,323.0,1.0,1.0,4.0,5.0,1978.0,35.62,35.16
143303.7,231.0,1.0,1.0,4.0,2.0,1979.0,29.52,19.68
248711.95,201.0,1.0,1.0,2.0,1.0,1956.0,33.13,28.42
212271.33,201.0,1.0,1.0,1.0,1.0,1966.0,44.08,29.51
181752.54,201.0,1.0,1.0,1.0,2.0,1970.0,26.62,37.69
264059.62,201.0,1.0,1.0,2.0,2.0,1966.0,33.45,25.71
219524.0,236.0,1.0,1.0,3.0,4.0,1958.0,28.2,34.97
196511.8,201.0,1.0,1.0,1.0,6.0,1972.0,31.24,29.1
354145.47,269.0,1.0,1.0,2.0,1.0,1955.0,41.9,36.96
197522.82,201.0,1.0,1.0,2.0,1.0,1959.0,42.47,30.61
281724.98,308.0,1.0,1.0,1.0,1.0,1977.0,42.82,24.79
221649.59,201.0,1.0,1.0,1.0,3.0,1973.0,37.03,29.1
222247.25,224.0,1.0,1.0,1.0,5.0,1956.0,29.9,31.99
262490.52,201.0,1.0,1.0,1.0,2.0,1952.0,38.93,33.51
247287.01,201.0,1.0,1.0,1.0,4.0,1985.0,27.53,30.18
250876.88,247.0,1.0,1.0,1.0,1.0,1989.0,37.46,27.09
211135.98,267.0,1.0,1.0,1.0,1.0,1978.0,27.02,37.7
298295.37,266.0,1.0,1.0,1.0,1.0,1955.0,30.68,25.08
349611.97,262.0,1.0,1.0,1.0,3.0,1981.0,36.82,40.78
289828.52,201.0,1.0,1.0,1.0,1.0,1973.0,36.6,39.74
260849.02,201.0,1.0,1.0,1.0,3.0,1983.0,43.2,30.69
223131.13,254.0,1.0,1.0,3.0,1.0,1955.0,38.18,24.65
295899.43,201.0,1.0,1.0,1.0,6.0,1959.0,31.35,39.9
247038.61,201.0,1.0,1.0,1.0,3.0,1969.0,41.95,39.24
181373.38,201.0,1.0,1.0,1.0,1.0,1979.0,35.12,34.47
287094.91,201.0,1.0,1.0,2.0,4.0,1975.0,41.12,34.39
251648.95,201.0,1.0,1.0,1.0,5.0,1970.0,31.25,27.33
354056.22,201.0,1.0,1.0,1.0,3.0,1955.0,31.81,32.51
264104.29,201.0,1.0,1.0,1.0,1.0,1953.0,39.97,24.72
293247.38,201.0,1.0,1.0,2.0,1.0,1958.0,32.04,25.51
256870.37,201.0,1.0,1.0,1.0,1.0,1966.0,40.93,25.93
278933.6,201.0,1.0,1.0,3.0,1.0,1960.0,27.01,27.54
290477.8,206.0,1.0,1.0,1.0,2.0,1951.0,31.98,23.96
220277.95,253.0,1.0,1.0,2.0,2.0,1969.0,33.54,30.48
255783.21,242.0,1.0,1.0,1.0,1.0,1974.0,35.65,32.49
252286.82,201.0,1.0,1.0,1.0,1.0,1960.0,36.96,29.54
248479.64,262.0,1.0,1.0,1.0,5.0,1972.0,39.85,38.72
276762.35,208.0,1.0,1.0,2.0,2.0,1968.0,29.37,42.67
119278.35,201.0,1.0,1.0,1.0,1.0,1953.0,32.65,27.77
274438.54,201.0,1.0,1.0,1.0,1.0,1952.0,28.13,34.57
302945.82,239.0,1.0,1.0,3.0,1.0,1976.0,32.58,24.11
214289.51,264.0,1.0,1.0,1.0,3.0,1974.0,39.94,30.75
341758.29,201.0,1.0,1.0,1.0,5.0,1954.0,35.2,32.13
305145.98,201.0,1.0,1.0,1.0,1.0,1951.0,34.84,24.09
302794.77,205.0,1.0,1.0,2.0,4.0,1984.0,35.33,28.52
296854.05,225.0,1.0,1.0,1.0,1.0,1977.0,32.88,32.16
290062.33,206.0,1.0,1.0,1.0,1.0,1951.0,36.28,33.38
257492.49,201.0,1.0,1.0,1.0,5.0,1963.0,33.4,28.21
266170.28,201.0,1.0,1.0,1.0,1.0,1969.0,42.57,30.48
230146.05,201.0,1.0,1.0,1.0,1.0,1964.0,22.0,30.51
191618.61,285.0,1.0,1.0,1.0,1.0,1953.0,36.59,23.96
270744.25,201.0,1.0,1.0,1.0,4.0,1957.0,34.59,29.39
210833.27,274.0,1.0,1.0,1.0,3.0,1967.0,32.96,32.32
193906.86,272.0,1.0,1.0,1.0,4.0,1972.0,45.6,30.43
346954.13,201.0,1.0,1.0,1.0,1.0,1966.0,41.55,29.93
228703.75,201.0,1.0,1.0,1.0,2.0,1952.0,40.66,39.5
253264.45,201.0,1.0,1.0,2.0,1.0,1954.0,36.41,33.49
220571.07,222.0,1.0,1.0,2.0,1.0,1976.0,38.45,30.54
139919.59,205.0,1.0,1.0,1.0,4.0,1973.0,40.31,30.74
219634.93,201.0,1.0,1.0,1.0,1.0,1956.0,37.67,33.76
255575.13,229.0,1.0,1.0,1.0,1.0,1956.0,28.73,33.1
276162.71,201.0,1.0,1.0,1.0,3.0,1954.0,35.48,32.28
320059.7,201.0,1.0,1.0,2.0,5.0,1951.0,42.42,26.72
199606.31,201.0,1.0,1.0,1.0,1.0,1954.0,38.36,26.66
94148.65,201.0,1.0,1.0,2.0,5.0,1960.0,28.95,34.37
233898.72,256.0,1.0,1.0,1.0,5.0,1956.0,37.5,30.1
262573.93,201.0,1.0,1.0,1.0,3.0,1959.0,26.75,22.83
213116.73,254.0,1.0,1.0,2.0,3.0,1987.0,38.93,28.74
157086.12,201.0,1.0,1.0,2.0,2.0,1972.0,27.91,35.28
227758.43,234.0,1.0,1.0,1.0,1.0,1975.0,30.04,38.25
292820.14,239.0,1.0,1.0,1.0,1.0,1954.0,30.84,29.72
296083.38,205.0,1.0,1.0,1.0,3.0,1979.0,41.21,26.22
245603.66,217.0,1.0,1.0,1.0,1.0,1984.0,37.01,25.11
236362.18,208.0,1.0,1.0,1.0,2.0,1952.0,37.49,27.57
326428.13,201.0,1.0,1.0,1.0,6.0,1977.0,40.78,24.31
326787.68,201.0,1.0,1.0,1.0,1.0,1957.0,37.37,31.23
279679.74,201.0,1.0,1.0,2.0,1.0,1983.0,32.5,31.13
254844.28,279.0,1.0,1.0,1.0,1.0,1971.0,28.59,26.45
248417.36,201.0,1.0,1.0,1.0,1.0,1951.0,45.43,34.28
256515.42,234.0,1.0,1.0,1.0,3.0,1974.0,28.15,34.99
252291.97,201.0,1.0,1.0,1.0,4.0,1987.0,41.2,35.05
279333.79,201.0,1.0,1.0,2.0,1.0,1968.0,24.25,28.11
264031.44,201.0,1.0,1.0,1.0,1.0,1971.0,28.63,34.64
177627.0,201.0,1.0,1.0,1.0,1.0,1980.0,27.63,26.96
269026.54,201.0,1.0,1.0,2.0,3.0,1982.0,29.65,32.53
281432.65,201.0,1.0,1.0,1.0,6.0,1977.0,33.14,29.52
285559.8,269.0,1.0,1.0,1.0,2.0,1977.0,33.49,26.55
246038.42,208.0,1.0,1.0,1.0,1.0,1966.0,34.29,31.87
235036.7,211.0,1.0,1.0,1.0,3.0,1975.0,31.84,22.39
235236.8,279.0,1.0,1.0,2.0,1.0,1977.0,36.85,30.82
209884.27,279.0,1.0,1.0,1.0,4.0,1954.0,18.66,32.12
240743.89,218.0,1.0,1.0,3.0,4.0,1984.0,39.18,33.78
243675.5,280.0,1.0,1.0,1.0,3.0,1984.0,35.23,28.06
247430.65,259.0,1.0,1.0,2.0,1.0,1951.0,38.62,28.88
199417.43,227.0,1.0,1.0,1.0,5.0,1970.0,43.63,31.46
294831.52,202.0,1.0,1.0,1.0,1.0,1972.0,35.99,19.24
301430.19,240.0,1.0,1.0,1.0,4.0,1982.0,34.98,27.09
333544.11,229.0,1.0,1.0,1.0,4.0,1980.0,37.89,27.1
277581.61,201.0,1.0,1.0,1.0,1.0,1968.0,37.54,25.1
263323.87,255.0,1.0,1.0,1.0,1.0,1952.0,41.68,24.41
272607.61,256.0,1.0,1.0,4.0,1.0,1960.0,36.59,33.43
244703.68,201.0,1.0,1.0,1.0,1.0,1975.0,33.45,28.07
247018.03,201.0,1.0,1.0,1.0,5.0,1951.0,33.55,31.85
216648.95,201.0,1.0,1.0,1.0,4.0,1972.0,37.36,26.86
290781.83,201.0,1.0,1.0,1.0,1.0,1957.0,39.82,36.89
200167.13,201.0,1.0,1.0,1.0,4.0,1953.0,38.36,27.33
309527.36,201.0,1.0,1.0,1.0,1.0,1985.0,35.17,32.19
236921.04,201.0,1.0,1.0,3.0,2.0,1953.0,39.63,22.36
279235.37,274.0,1.0,1.0,1.0,1.0,1965.0,31.68,18.75
277526.9,223.0,1.0,1.0,1.0,1.0,1951.0,35.08,26.4
236364.13,201.0,1.0,1.0,1.0,2.0,1958.0,40.89,24.65
252041.17,201.0,1.0,1.0,1.0,1.0,1970.0,37.56,29.6
255138.12,228.0,1.0,1.0,1.0,2.0,1974.0,44.01,24.24
283899.16,201.0,1.0,1.0,1.0,1.0,1957.0,44.2,30.29
309257.56,201.0,1.0,1.0,1.0,4.0,1984.0,28.24,31.35
299213.53,201.0,1.0,1.0,1.0,1.0,1953.0,37.96,25.34
332820.87,214.0,1.0,1.0,1.0,3.0,1955.0,31.63,31.65
163141.87,201.0,1.0,1.0,1.0,1.0,1959.0,29.41,38.2
293219.18,201.0,1.0,1.0,1.0,1.0,1968.0,38.77,34.35
251712.06,238.0,1.0,1.0,1.0,4.0,1959.0,46.7,25.75
145430.52,201.0,1.0,1.0,1.0,3.0,1958.0,28.98,28.77
233415.5,219.0,1.0,1.0,1.0,6.0,1968.0,37.68,24.26
282291.78,220.0,1.0,1.0,1.0,1.0,1959.0,29.0,31.47
253537.77,226.0,1.0,1.0,1.0,1.0,1972.0,39.33,33.96
218598.23,201.0,1.0,1.0,1.0,3.0,1984.0,35.36,26.84
234321.78,201.0,1.0,1.0,2.0,4.0,1970.0,38.16,33.93
317909.39,201.0,1.0,1.0,1.0,1.0,1966.0,27.8,36.08
277850.57,201.0,1.0,1.0,2.0,4.0,1970.0,38.01,34.15
244575.48,239.0,1.0,1.0,1.0,1.0,1969.0,40.51,34.21
228132.52,242.0,1.0,1.0,1.0,4.0,1964.0,26.71,32.86
265271.55,201.0,1.0,1.0,1.0,1.0,1963.0,40.72,24.58
173860.8,205.0,1.0,1.0,1.0,6.0,1972.0,30.38,27.13
151279.66,201.0,1.0,1.0,2.0,5.0,1953.0,37.99,32.85
316828.81,201.0,1.0,1.0,1.0,1.0,1977.0,41.31,31.86
187605.81,213.0,1.0,1.0,1.0,2.0,1956.0,32.07,31.47
301236.91,201.0,1.0,1.0,1.0,5.0,1957.0,41.71,33.78
217731.06,241.0,1.0,1.0,1.0,2.0,1960.0,29.42,29.27
156183.86,269.0,1.0,1.0,1.0,3.0,1976.0,33.61,23.57
331218.57,237.0,1.0,1.0,1.0,3.0,1951.0,32.51,30.61
161293.55,201.0,1.0,1.0,2.0,4.0,1970.0,37.19,23.14
237115.67,201.0,1.0,1.0,2.0,1.0,1986.0,31.41,28.9
267199.37,201.0,1.0,1.0,2.0,1.0,1983.0,40.97,23.53
178547.23,218.0,1.0,1.0,1.0,1.0,1958.0,37.72,29.07
236772.64,201.0,1.0,1.0,2.0,1.0,1977.0,30.11,29.72
183131.99,201.0,1.0,1.0,2.0,1.0,1954.0,33.58,33.19
269405.95,201.0,1.0,1.0,1.0,1.0,1965.0,35.95,32.89
289246.86,201.0,1.0,1.0,1.0,1.0,1979.0,38.51,30.21
288850.23,201.0,1.0,1.0,3.0,1.0,1959.0,35.79,26.27
193520.21,201.0,1.0,1.0,1.0,1.0,1961.0,36.79,29.24
228281.19,212.0,1.0,1.0,1.0,2.0,1971.0,36.44,35.11
229273.6,201.0,1.0,1.0,1.0,1.0,1980.0,38.89,23.64
304868.13,201.0,1.0,1.0,1.0,2.0,1960.0,33.78,26.71
316341.36,238.0,1.0,1.0,1.0,6.0,1970.0,36.19,32.7
163758.21,201.0,1.0,1.0,2.0,5.0,1977.0,38.08,36.97
217825.72,236.0,1.0,1.0,1.0,3.0,1953.0,35.14,34.4
317429.39,328.0,1.0,1.0,1.0,1.0,1973.0,48.75,19.89
290103.55,201.0,1.0,1.0,1.0,1.0,1968.0,39.96,26.39
264622.72,230.0,1.0,1.0,1.0,1.0,1957.0,35.22,36.0
204689.74,201.0,1.0,1.0,2.0,5.0,1985.0,27.39,35.61
253905.9,230.0,1.0,1.0,1.0,2.0,1975.0,34.42,19.28
262750.27,235.0,1.0,1.0,1.0,2.0,1979.0,34.62,19.31
257010.07,235.0,1.0,1.0,2.0,2.0,1967.0,36.84,23.97
245356.34,210.0,1.0,1.0,1.0,2.0,1963.0,39.4,27.16
268454.81,201.0,1.0,1.0,3.0,3.0,1984.0,30.67,25.84
285837.61,273.0,1.0,1.0,1.0,1.0,1954.0,28.92,30.78
266317.81,201.0,1.0,1.0,1.0,3.0,1968.0,31.32,27.39
243062.0,233.0,1.0,1.0,1.0,1.0,1957.0,38.54,32.69
265428.4,265.0,1.0,1.0,1.0,5.0,1967.0,28.45,24.18
176478.64,201.0,1.0,1.0,1.0,5.0,1979.0,39.87,28.67
252344.53,201.0,1.0,1.0,1.0,6.0,1960.0,36.4,24.71
245109.66,201.0,1.0,1.0,1.0,1.0,1962.0,32.87,41.57
248326.12,249.0,1.0,1.0,1.0,1.0,1961.0,29.45,32.43
287974.92,233.0,1.0,1.0,1.0,6.0,1983.0,32.94,27.68
297139.16,215.0,1.0,1.0,1.0,1.0,1971.0,36.45,24.93
275522.43,201.0,1.0,1.0,1.0,6.0,1974.0,41.48,34.44
368236.09,201.0,1.0,1.0,1.0,1.0,1969.0,33.37,29.17
184628.76,201.0,1.0,1.0,1.0,1.0,1975.0,38.15,29.28
238221.37,201.0,1.0,1.0,1.0,1.0,1972.0,29.94,30.57
267121.86,206.0,1.0,1.0,1.0,5.0,1973.0,36.36,29.61
287361.31,218.0,1.0,1.0,1.0,6.0,1980.0,36.18,37.87
273606.67,201.0,1.0,1.0,1.0,5.0,1973.0,38.45,25.11
124837.6,244.0,1.0,1.0,1.0,5.0,1983.0,34.57,33.72
286219.81,281.0,1.0,1.0,1.0,1.0,1955.0,29.48,26.93
210686.53,274.0,1.0,1.0,1.0,1.0,1962.0,42.71,32.53
185952.2,237.0,1.0,1.0,2.0,1.0,1954.0,29.66,28.8
248485.24,252.0,1.0,1.0,2.0,3.0,1976.0,34.7,31.15
317624.29,201.0,1.0,1.0,3.0,2.0,1965.0,43.77,28.08
272004.11,211.0,1.0,1.0,3.0,1.0,1952.0,40.97,27.26
250566.48,278.0,1.0,1.0,3.0,4.0,1966.0,36.37,34.43
253854.51,224.0,1.0,1.0,2.0,4.0,1971.0,21.12,36.25
301773.27,270.0,1.0,1.0,1.0,4.0,1970.0,32.26,31.75
268959.48,201.0,1.0,1.0,2.0,1.0,1965.0,31.37,29.91
136668.9,228.0,1.0,1.0,1.0,4.0,1955.0,32.71,35.89
233821.25,206.0,1.0,1.0,1.0,2.0,1959.0,40.46,33.16
232775.92,291.0,1.0,1.0,2.0,1.0,1961.0,39.78,29.56
308323.8,253.0,1.0,1.0,2.0,1.0,1974.0,40.04,38.66
219455.24,215.0,1.0,1.0,1.0,3.0,1957.0,31.68,29.38
217811.83,235.0,1.0,1.0,1.0,5.0,1977.0,38.81,34.43
