,manufacturer,type,ram,weight,price,touchscreen,ips,ppi,cpu_brand,hdd,ssd,gpu_brand,os
793,Lenovo,2 in 1 Convertible,8,2.08,613.1462399999999,1,0,141.2119981,Intel Core i5,0,256,AMD,Windows
1078,Lenovo,Notebook,4,2.1,345.25440000000003,0,0,100.4546699,Intel Core i5,500,0,Intel,Windows
548,HP,Notebook,4,1.86,253.82592,0,0,141.2119981,Intel Core i3,500,0,Intel,Windows
299,Asus,Ultrabook,16,1.63,938.58048,0,0,141.2119981,Intel Core i7,0,512,Nvidia,Windows
302,Lenovo,Notebook,6,2.8,414.94464000000005,0,0,106.1130621,Intel Core i5,1000,0,Nvidia,Windows
243,Dell,Gaming,8,2.56,561.9974400000001,0,0,141.2119981,Intel Core i5,0,256,Nvidia,Windows
354,Toshiba,Notebook,16,2.4,897.02208,0,1,141.2119981,Intel Core i7,0,512,Nvidia,Windows
235,Dell,Notebook,16,2.36,574.7846400000001,0,0,141.2119981,Intel Core i7,0,256,AMD,Others/No OS/Linux
186,Dell,Notebook,16,2.06,1532.54592,1,0,282.4239962,Intel Core i7,0,512,Nvidia,Windows
1112,Lenovo,Notebook,4,2.1,274.28544,0,0,100.4546699,Intel Core i3,0,128,Intel,Windows
461,Acer,Netbook,4,1.4,278.1216,0,0,135.0942112,Other Intel Processor,0,128,Intel,Windows
1053,HP,Notebook,4,2.04,625.93344,0,0,100.4546699,Intel Core i5,0,256,Intel,Windows
979,Asus,Gaming,16,2.99,1118.24064,0,0,127.3356746,Intel Core i7,0,256,Nvidia,Windows
1219,Lenovo,Notebook,8,2.3,977.5814399999999,0,1,141.2119981,Intel Core i7,0,256,Intel,Windows
883,Lenovo,Notebook,8,2.2,427.73184000000003,0,1,141.2119981,Intel Core i7,1000,0,Nvidia,Windows
1298,Lenovo,2 in 1 Convertible,16,1.3,958.4006400000001,1,1,276.0535301,Intel Core i7,0,512,Intel,Windows
585,MSI,Gaming,16,4.5,1501.85664,0,0,127.3356746,Intel Core i7,0,128,Nvidia,Windows
995,Asus,Notebook,8,1.4,735.264,0,0,276.0535301,Intel Core i5,0,256,Intel,Windows
692,HP,Workstation,8,3.14,1219.8924864,0,0,127.3356746,Intel Core i7,500,0,Nvidia,Windows
112,Lenovo,2 in 1 Convertible,8,1.37,894.46464,1,1,165.6321181,Intel Core i5,0,256,Intel,Windows
1034,HP,Notebook,8,1.84,785.7670464,0,0,141.2119981,Intel Core i7,0,256,Intel,Windows
667,HP,Notebook,8,2.1,476.3232,0,0,141.2119981,Intel Core i7,1000,0,AMD,Windows
1102,Acer,Notebook,4,2.2,133.62624,0,0,100.4546699,Other Intel Processor,0,16,Intel,Others/No OS/Linux
295,Lenovo,Gaming,8,3.2,830.52864,0,1,141.2119981,Intel Core i7,1000,0,Nvidia,Windows
71,Dell,Ultrabook,8,1.4,610.5888,0,1,165.6321181,Intel Core i7,0,256,AMD,Windows
619,Acer,2 in 1 Convertible,4,1.25,242.31744,1,1,135.0942112,Other Intel Processor,0,0,Intel,Others/No OS/Linux
1029,HP,Notebook,8,2.63,690.5088000000001,0,0,127.3356746,Intel Core i5,0,256,Nvidia,Windows
1264,Lenovo,Notebook,8,2.6,574.7846400000001,0,1,141.2119981,Intel Core i7,1000,0,Nvidia,Windows
898,Dell,Notebook,4,2.18,392.56703999999996,0,0,100.4546699,Intel Core i3,1000,0,AMD,Windows
1010,Dell,Gaming,8,2.65,606.75264,0,0,141.2119981,Intel Core i5,0,0,Nvidia,Windows
361,Asus,Notebook,8,2.0,604.1952,0,0,157.3505121,Intel Core i5,0,256,Intel,Windows
972,Dell,Gaming,32,4.42,1790.208,0,0,127.3356746,Intel Core i7,0,256,Nvidia,Windows
28,Dell,Ultrabook,8,1.88,829.8892800000001,0,0,141.2119981,Intel Core i7,0,256,Intel,Windows
298,Lenovo,Notebook,6,2.4,319.04064,0,0,141.2119981,AMD Processor,1000,0,AMD,Windows
745,Acer,Notebook,2,1.68,210.98880000000003,0,0,111.9352036,Other Intel Processor,0,0,Intel,Others/No OS/Linux
114,Dell,Ultrabook,8,1.21,1041.51744,0,1,165.6321181,Intel Core i5,0,256,Intel,Windows
828,Acer,Netbook,4,1.35,226.97280000000003,0,1,135.0942112,Other Intel Processor,0,0,Intel,Others/No OS/Linux
385,Lenovo,Ultrabook,8,1.13,1459.01952,0,1,209.8006829,Intel Core i7,0,512,Intel,Windows
1293,HP,Notebook,6,2.04,351.6416064,0,0,141.2119981,AMD Processor,0,0,AMD,Windows
650,Asus,Gaming,32,3.8,1789.56864,0,1,127.3356746,Intel Core i7,0,512,Nvidia,Windows
646,Acer,Ultrabook,8,1.8,587.57184,0,1,157.3505121,Intel Core i5,0,256,Intel,Windows
228,Asus,Notebook,8,2.69,569.66976,0,0,127.3356746,Intel Core i5,0,256,Nvidia,Windows
1272,HP,Notebook,6,2.19,488.47104,0,0,100.4546699,Intel Core i7,1000,0,AMD,Windows
598,Dell,2 in 1 Convertible,8,1.34,1067.7312000000002,1,0,176.2325736,Intel Core i5,0,256,Intel,Windows
368,Dell,Notebook,8,2.33,574.7846400000001,0,0,141.2119981,Intel Core i7,0,256,AMD,Windows
1008,HP,Notebook,8,1.64,670.8548736,0,0,157.3505121,Intel Core i5,0,256,Nvidia,Windows
1140,Lenovo,2 in 1 Convertible,16,2.8,1560.0384,1,1,209.8006829,Intel Core i7,0,512,Intel,Windows
1259,Lenovo,2 in 1 Convertible,4,1.8,532.5932736,1,0,157.3505121,Intel Core i5,0,128,Intel,Windows
7,Apple,Ultrabook,8,1.34,740.8264320000001,0,0,127.6779401,Intel Core i5,0,0,Intel,Mac
1223,Dell,2 in 1 Convertible,4,2.08,325.43424,1,0,146.860478,Intel Core i3,500,0,Intel,Windows
841,Dell,Gaming,32,4.42,1964.6829504000002,0,1,127.3356746,Intel Core i7,0,512,Nvidia,Windows
284,Acer,Notebook,8,3.0,608.03136,0,1,141.2119981,Intel Core i7,0,256,Nvidia,Windows
666,Dell,Notebook,8,2.06,610.5888,0,0,141.2119981,Intel Core i5,1000,0,Intel,Windows
859,Lenovo,Notebook,4,2.2,299.85984,0,0,141.2119981,Intel Core i3,1000,0,Intel,Others/No OS/Linux
497,HP,Notebook,8,1.48,1118.24064,0,0,157.3505121,Intel Core i7,0,1000,Intel,Windows
763,Asus,Ultrabook,8,1.2,721.83744,0,1,276.0535301,Intel Core i5,0,256,Intel,Windows
1217,Lenovo,Gaming,8,2.6,813.26592,0,1,141.2119981,Intel Core i7,0,128,Nvidia,Windows
1192,Apple,Ultrabook,8,0.92,743.57568,0,1,226.4155472,Other Intel Processor,0,0,Intel,Mac
994,Dell,2 in 1 Convertible,8,1.68,568.39104,1,0,165.6321181,Intel Core i5,0,256,Intel,Windows
674,HP,2 in 1 Convertible,4,1.63,446.91264,1,1,157.3505121,Intel Core i3,0,128,Nvidia,Windows
707,Lenovo,Workstation,16,2.18,1186.0128,0,0,141.2119981,Intel Core i7,0,512,Nvidia,Windows
142,Lenovo,Gaming,8,2.4,555.60384,0,1,141.2119981,Intel Core i7,0,256,Nvidia,Others/No OS/Linux
314,Asus,2 in 1 Convertible,2,1.1,175.824,1,0,135.0942112,Other Intel Processor,0,0,Intel,Windows
132,Acer,Ultrabook,8,1.6,565.1942399999999,0,1,157.3505121,Intel Core i7,0,256,Intel,Windows
478,Dell,Notebook,8,2.2,431.568,0,0,141.2119981,Intel Core i5,1000,0,AMD,Windows
1005,HP,Notebook,4,1.48,703.2896064,0,0,111.9352036,Intel Core i5,0,256,Intel,Windows
784,Lenovo,Ultrabook,16,1.7,1469.8886400000001,0,0,157.3505121,Intel Core i7,0,512,Intel,Windows
893,Lenovo,Ultrabook,8,1.32,1150.20864,0,1,157.3505121,Intel Core i5,0,256,Intel,Windows
441,Dell,Notebook,4,2.2,478.88064,0,0,141.2119981,Intel Core i5,0,256,AMD,Windows
167,Dell,Gaming,8,2.56,678.0348864,0,0,141.2119981,Intel Core i7,0,128,Nvidia,Windows
465,Asus,Notebook,4,2.0,194.36544,0,0,100.4546699,Other Intel Processor,500,0,Intel,Windows
805,HP,Netbook,8,1.26,888.07104,0,0,125.367428,Intel Core i5,0,256,Intel,Windows
439,Asus,Notebook,4,2.0,357.40224,0,0,141.2119981,Intel Core i5,0,256,Intel,Others/No OS/Linux
308,Lenovo,Notebook,8,2.3,523.63584,0,0,141.2119981,Intel Core i5,0,128,Nvidia,Windows
827,Dell,Notebook,4,1.76,374.0256,0,0,111.9352036,Intel Core i3,500,0,Intel,Windows
1173,Lenovo,Notebook,4,2.1,254.46527999999998,0,0,100.4546699,Intel Core i5,500,0,Intel,Others/No OS/Linux
138,Lenovo,Notebook,4,2.2,319.04064,0,0,141.2119981,Intel Core i5,1000,0,Nvidia,Others/No OS/Linux
209,Lenovo,Notebook,8,2.2,381.69792,0,0,100.4546699,Intel Core i5,0,256,Intel,Windows
549,Lenovo,Notebook,8,1.99,1105.45344,0,1,141.2119981,Intel Core i7,0,512,Intel,Windows
946,Dell,Ultrabook,8,1.36,941.2657920000001,1,0,176.2325736,Intel Core i5,0,256,Intel,Windows
1198,MSI,Gaming,16,2.43,1309.9847040000002,0,0,127.3356746,Intel Core i7,0,256,Nvidia,Windows
358,Dell,Notebook,8,2.36,356.36008319999996,1,0,100.4546699,Intel Core i5,2000,0,Intel,Windows
510,Dell,Ultrabook,8,1.29,574.7846400000001,1,1,165.6321181,Intel Core i5,0,128,Intel,Windows
290,Acer,Notebook,2,2.19,127.23263999999999,0,0,100.4546699,Other Intel Processor,0,16,Intel,Others/No OS/Linux
1021,Toshiba,Ultrabook,8,1.2,1016.5824,0,0,165.6321181,Intel Core i5,0,256,Intel,Windows
887,Asus,Gaming,12,2.2,875.8592639999999,0,0,127.3356746,Intel Core i5,0,128,Nvidia,Windows
415,Dell,Notebook,4,2.3,382.912704,0,0,141.2119981,Intel Core i5,0,256,AMD,Others/No OS/Linux
918,Dell,Gaming,16,2.6,862.4966400000001,0,0,141.2119981,Intel Core i7,0,128,Nvidia,Windows
1043,Lenovo,Notebook,8,2.3,671.072256,0,0,141.2119981,Intel Core i5,0,256,Intel,Windows
423,Asus,Notebook,8,2.3,381.69792,0,0,141.2119981,Intel Core i3,1000,0,Nvidia,Others/No OS/Linux
991,HP,Notebook,4,2.1,319.04064,0,0,141.2119981,Intel Core i3,0,128,AMD,Windows
271,Asus,Gaming,16,3.2,990.36864,0,0,127.3356746,AMD Processor,0,256,AMD,Windows
941,Asus,Notebook,4,2.8,338.86080000000004,0,0,106.1130621,Other Intel Processor,1000,0,Nvidia,Windows
418,Dell,Notebook,8,2.14,345.222432,0,0,100.4546699,Intel Core i5,1000,0,Intel,Windows
742,Toshiba,Notebook,8,1.25,981.4176000000001,1,1,157.3505121,Intel Core i5,0,256,Intel,Windows
695,Acer,Netbook,4,1.4,171.98784,0,0,135.0942112,Other Intel Processor,0,0,Intel,Windows
524,Dell,Notebook,8,2.8,568.39104,0,1,127.3356746,Intel Core i5,0,128,AMD,Others/No OS/Linux
382,Asus,Gaming,8,2.3,1058.1408,0,1,141.2119981,Intel Core i7,0,128,Nvidia,Windows
1006,HP,Notebook,4,1.95,770.4288,0,0,157.3505121,Intel Core i5,0,256,Intel,Windows
109,Lenovo,Notebook,8,1.58,946.2528,0,1,157.3505121,Intel Core i7,0,256,Intel,Windows
748,Dell,Notebook,8,1.6,720.3733056,0,0,111.9352036,Intel Core i5,0,256,Intel,Windows
858,Dell,Notebook,8,1.62,414.94464000000005,1,0,165.6321181,Intel Core i5,1000,0,Intel,Windows
1124,Asus,Notebook,4,2.0,278.1216,0,0,100.4546699,Intel Core i3,1000,0,Intel,Windows
250,Dell,2 in 1 Convertible,8,2.08,523.63584,1,1,141.2119981,Intel Core i7,1000,0,Intel,Windows
820,Lenovo,Notebook,4,2.1,313.222464,0,0,100.4546699,Intel Core i3,500,0,Intel,Windows
1131,Lenovo,2 in 1 Convertible,8,1.8,1310.9309568,1,1,157.3505121,Intel Core i7,0,512,Nvidia,Windows
150,Dell,Gaming,16,2.56,798.7268736,0,0,141.2119981,Intel Core i7,0,512,Nvidia,Windows
951,Dell,Ultrabook,8,1.36,1134.864,0,0,157.3505121,Intel Core i7,0,256,Intel,Windows
207,Dell,Ultrabook,8,1.21,1246.11264,1,1,331.2642361,Intel Core i7,0,256,Intel,Windows
1256,Dell,Notebook,4,2.29,313.2864,0,0,100.4546699,Intel Core i3,500,0,Intel,Windows
1077,MSI,Gaming,16,3.78,1597.76064,0,0,127.3356746,Intel Core i7,0,256,Nvidia,Windows
232,Lenovo,Gaming,16,3.2,958.4006400000001,0,1,141.2119981,Intel Core i7,0,256,Nvidia,Windows
1300,HP,Notebook,6,2.19,488.47104,0,0,100.4546699,Intel Core i7,1000,0,AMD,Windows
442,Lenovo,Ultrabook,8,1.36,913.64544,0,1,176.2325736,Intel Core i5,0,256,Intel,Windows
316,HP,2 in 1 Convertible,16,1.29,1565.7926400000001,1,1,331.2642361,Intel Core i7,0,1000,Intel,Windows
723,Dell,Gaming,32,4.36,2339.673984,0,0,254.6713491,Intel Core i7,0,1000,Nvidia,Windows
653,MSI,Gaming,8,2.2,761.989248,0,0,141.2119981,Intel Core i7,0,128,Nvidia,Windows
269,Lenovo,Notebook,8,2.05,562.6368,0,0,141.2119981,Intel Core i7,0,256,Intel,Windows
18,Lenovo,Notebook,8,2.2,319.04064,0,0,141.2119981,Intel Core i3,1000,0,Nvidia,Others/No OS/Linux
57,Asus,Notebook,4,2.0,374.7864384,0,0,100.4546699,Intel Core i5,0,256,Intel,Windows
897,HP,Notebook,8,2.04,575.424,0,0,141.2119981,Intel Core i7,1000,0,Nvidia,Windows
1041,Vero,Notebook,2,1.45,134.77708800000002,0,0,111.9352036,Other Intel Processor,0,0,Intel,Windows
1001,HP,Notebook,8,1.34,760.19904,0,1,165.6321181,Intel Core i5,0,256,Intel,Windows
322,Asus,Notebook,8,2.0,699.45984,0,0,157.3505121,Intel Core i7,0,256,Intel,Windows
700,Dell,Gaming,8,2.56,523.63584,0,0,141.2119981,Intel Core i5,1000,0,Nvidia,Windows
1139,HP,Ultrabook,8,1.88,1388.5108992,0,0,141.2119981,Intel Core i7,0,256,Intel,Windows
143,Toshiba,Notebook,4,2.1,384.89472,0,0,100.4546699,Intel Core i5,500,0,Intel,Windows
929,HP,Notebook,4,1.95,734.62464,0,0,111.9352036,Intel Core i5,500,0,Intel,Windows
1037,Toshiba,Ultrabook,8,1.47,1102.896,0,1,157.3505121,Intel Core i7,0,256,Intel,Windows
134,HP,Notebook,8,2.05,382.33727999999996,0,0,100.4546699,Intel Core i7,1000,0,Intel,Windows
683,HP,Notebook,4,2.5,446.91264,0,1,127.3356746,Intel Core i3,0,256,AMD,Windows
197,HP,Notebook,8,1.49,613.1462399999999,0,0,165.6321181,Intel Core i5,0,512,Intel,Windows
77,Dell,Notebook,8,2.02,546.6528000000001,0,0,141.2119981,Intel Core i7,0,128,Intel,Windows
279,Lenovo,Notebook,8,2.8,542.81664,0,0,127.3356746,Intel Core i7,2000,0,Nvidia,Others/No OS/Linux
600,HP,Notebook,8,1.84,779.3798400000001,0,0,141.2119981,Intel Core i7,0,256,Intel,Windows
61,Dell,Ultrabook,8,1.7,561.9974400000001,0,0,157.3505121,Intel Core i5,0,256,Intel,Windows
