manufacturer_name,transmission,color,odometer_value,year_produced,engine_type,engine_capacity,body_type,drivetrain,price_usd
Others,automatic,blue,242000,2003,gasoline,2.5,suv,all,4490.0
Others,automatic,grey,209000,2007,gasoline,2.0,sedan,all,6950.0
Others,mechanical,silver,195000,2006,gasoline,3.0,sedan,all,8200.0
Others,automatic,black,126705,2014,gasoline,2.5,universal,all,16500.0
Others,automatic,other,164153,2008,gasoline,2.5,universal,all,8500.0
Others,mechanical,blue,143000,2009,gasoline,1.5,hatchback,front,6450.0
Others,mechanical,white,463491,2002,gasoline,2.5,universal,all,3150.0
Others,mechanical,green,321869,1998,gasoline,2.2,universal,all,1900.0
Others,mechanical,other,250000,2005,gasoline,2.0,sedan,all,4899.0
Others,mechanical,black,260000,1999,gasoline,2.5,universal,all,2500.0
Others,mechanical,green,300000,1999,gasoline,2.0,suv,all,1700.0
Others,automatic,red,358047,1999,gasoline,2.5,universal,all,1800.0
Others,mechanical,blue,296000,2003,gasoline,2.0,universal,all,6150.0
Others,automatic,orange,183000,2012,gasoline,2.0,suv,all,12900.0
Others,automatic,red,116000,2010,gasoline,2.5,sedan,all,7250.0
Others,automatic,brown,180000,2008,gasoline,2.5,universal,all,9400.0
Others,mechanical,black,343455,2001,gasoline,2.0,universal,all,3300.0
Others,automatic,white,202777,2009,gasoline,2.5,sedan,all,8200.0
Others,automatic,black,230000,2001,gasoline,2.5,suv,all,4200.0
Others,mechanical,red,80000,1992,gasoline,1.2,hatchback,all,2100.0
Others,automatic,green,408263,1999,gasoline,2.5,universal,all,1499.0
Others,automatic,silver,300000,1998,gasoline,2.5,universal,all,2500.0
Others,mechanical,green,285000,2001,gasoline,2.5,universal,all,3650.0
Others,mechanical,red,363500,1994,gasoline,2.0,universal,front,1400.0
Others,mechanical,silver,127138,2005,gasoline,2.5,sedan,all,5400.0
Others,automatic,grey,88000,2014,gasoline,2.0,suv,all,12950.0
Others,automatic,black,128000,2012,gasoline,2.0,suv,all,15490.0
Others,automatic,blue,177000,2010,gasoline,2.5,universal,all,13500.0
Others,mechanical,silver,350000,2000,gasoline,2.0,universal,all,2000.0
Others,mechanical,grey,173000,2005,gasoline,2.5,suv,all,7500.0
Others,automatic,blue,280000,2004,gasoline,2.5,suv,all,5800.0
Others,mechanical,green,270000,1998,gasoline,2.5,suv,front,2750.0
Others,automatic,other,310000,1996,gasoline,2.0,universal,all,3299.0
Others,mechanical,green,450000,1996,gasoline,2.0,universal,all,1400.0
Others,automatic,blue,179000,2008,gasoline,3.6,suv,all,9900.0
Others,automatic,silver,175000,2013,gasoline,2.5,universal,all,15900.0
Others,mechanical,blue,130000,2008,gasoline,2.5,hatchback,all,13500.0
Others,automatic,silver,305000,1999,gasoline,2.5,suv,all,3750.0
Others,automatic,silver,294000,1999,gasoline,2.0,universal,all,3400.0
Others,mechanical,violet,353000,2000,gasoline,2.5,universal,all,4250.0
Others,mechanical,black,400000,2003,gasoline,2.0,universal,all,5500.0
Others,mechanical,green,329786,2001,gasoline,1.6,universal,all,4100.0
Others,mechanical,red,230000,2003,gasoline,2.0,universal,all,7000.0
Others,mechanical,blue,160000,2010,gasoline,2.5,suv,all,12600.0
Others,automatic,silver,80000,2016,gasoline,2.0,sedan,all,14500.0
Others,automatic,blue,394289,2002,gasoline,2.5,universal,all,3900.0
Others,automatic,blue,256000,2012,gasoline,2.5,universal,all,14227.45
Others,automatic,silver,160000,2011,gasoline,2.5,suv,all,17000.0
Others,mechanical,black,218000,1997,gasoline,2.5,suv,all,3750.0
Others,automatic,silver,273588,2006,gasoline,2.5,universal,all,6000.0
Others,mechanical,black,103975,2011,gasoline,2.5,suv,all,15500.0
Others,mechanical,blue,330000,1995,gasoline,2.2,sedan,all,1900.0
Others,automatic,black,205328,2008,gasoline,2.5,hatchback,all,6499.0
Others,automatic,blue,353624,2001,gasoline,3.0,universal,all,5250.0
Others,mechanical,silver,170000,2008,gasoline,1.0,minivan,front,5199.0
Others,automatic,other,370000,2004,gasoline,2.5,universal,all,6000.0
Others,automatic,black,233000,2000,gasoline,2.0,universal,all,6800.0
Others,mechanical,green,354056,1998,gasoline,2.2,universal,all,1900.0
Others,automatic,black,160000,2010,gasoline,2.5,suv,all,8650.0
Others,mechanical,silver,295000,1996,gasoline,2.0,universal,all,1565.02
Others,automatic,grey,100000,2012,gasoline,2.5,universal,all,16300.0
Others,mechanical,green,180000,1998,gasoline,2.0,sedan,front,6900.0
Others,automatic,green,60000,2001,gasoline,2.5,universal,all,2900.0
Others,mechanical,silver,185075,2003,gasoline,2.5,sedan,all,7000.0
Others,automatic,blue,405555,2001,gasoline,2.5,universal,all,4990.0
Others,mechanical,other,185000,2008,gasoline,1.5,sedan,all,6300.0
Others,automatic,red,152888,2009,gasoline,2.5,sedan,all,11000.0
Others,mechanical,silver,193000,2009,gasoline,1.5,hatchback,front,7000.0
Others,automatic,blue,162544,2010,gasoline,2.5,suv,all,9700.0
Others,automatic,red,56800,2015,gasoline,2.5,universal,all,23400.0
Others,automatic,black,260000,2007,gasoline,3.0,sedan,all,6800.0
Others,mechanical,black,150000,2010,gasoline,1.0,hatchback,front,6450.0
Others,automatic,green,334567,1992,gasoline,2.2,universal,all,1600.0
Others,mechanical,blue,350000,1987,gasoline,1.8,universal,all,1500.0
Others,mechanical,silver,388000,1996,gasoline,2.0,universal,all,2300.0
Others,mechanical,silver,96370,2009,gasoline,1.0,hatchback,front,5500.0
Others,automatic,grey,300000,2007,gasoline,2.0,universal,all,5999.0
Others,automatic,white,280000,2007,gasoline,2.0,sedan,all,9000.0
Others,automatic,white,69500,2014,gasoline,2.0,sedan,all,24900.0
Others,automatic,white,237000,2004,gasoline,3.0,universal,all,6150.0
Others,automatic,silver,289740,2001,gasoline,2.5,universal,all,4200.0
Others,automatic,silver,164000,2001,gasoline,2.0,sedan,all,3700.0
Others,automatic,red,280000,1997,gasoline,2.0,sedan,front,1500.0
Others,automatic,grey,95000,2012,gasoline,2.0,suv,all,12999.0
Others,automatic,grey,95000,2012,gasoline,2.0,hatchback,all,12999.0
Others,mechanical,grey,193000,2008,diesel,2.0,suv,all,9481.65
Others,mechanical,black,225000,2006,gasoline,2.0,sedan,all,6800.0
Others,automatic,silver,306000,2007,gasoline,2.5,universal,all,7700.0
Others,automatic,black,362102,1997,gasoline,2.5,universal,all,2800.0
Others,automatic,white,80467,2015,gasoline,2.0,suv,all,22850.0
Others,automatic,white,300000,1998,gasoline,2.5,universal,all,4990.0
Others,automatic,silver,270370,2006,gasoline,2.5,sedan,all,7000.0
Others,automatic,red,100000,2012,gasoline,1.6,suv,all,14000.0
Others,mechanical,white,236000,1999,gasoline,2.0,universal,all,3599.0
Others,automatic,blue,350000,2004,gasoline,2.5,sedan,all,4500.0
Others,automatic,other,370149,1996,gasoline,2.0,universal,all,3290.0
Others,automatic,green,330000,1998,gasoline,2.0,universal,all,4200.0
Others,automatic,grey,252000,2007,gasoline,3.0,suv,all,8200.0
Others,mechanical,other,343444,1996,gasoline,2.0,universal,front,1800.0
Others,mechanical,green,212000,1994,gasoline,2.2,universal,all,2000.0
Others,automatic,other,50000,2009,gasoline,2.5,suv,all,14300.0
Others,mechanical,silver,295000,1998,gasoline,2.0,sedan,all,1400.0
Others,automatic,other,116000,2015,gasoline,2.0,suv,all,18900.0
Others,mechanical,black,182000,2007,gasoline,1.5,sedan,all,5500.0
Others,mechanical,red,226800,2001,gasoline,2.5,universal,all,3799.0
Others,automatic,white,339572,1997,gasoline,2.2,universal,all,1600.0
Others,automatic,other,104000,2012,gasoline,3.6,suv,all,13500.0
Others,automatic,black,187000,2011,gasoline,2.5,universal,all,12300.0
Others,automatic,grey,92300,2012,gasoline,2.5,suv,all,14499.0
Others,automatic,black,135000,2014,gasoline,2.5,suv,all,19500.0
Others,mechanical,blue,76000,2015,diesel,2.0,hatchback,front,14000.0
Others,mechanical,grey,72000,2014,gasoline,2.0,suv,all,14938.82
Others,automatic,blue,35000,2006,gasoline,3.0,suv,all,6600.0
Others,automatic,blue,170000,2010,gasoline,2.5,universal,all,11550.0
Others,mechanical,black,364000,2008,gasoline,2.0,universal,all,9050.0
Others,automatic,grey,25480,2014,gasoline,1.6,hatchback,all,19499.0
Others,mechanical,black,144841,2009,gasoline,2.5,sedan,all,10500.0
Others,automatic,silver,280000,2004,gasoline,2.5,universal,all,2800.0
Others,automatic,grey,187000,2010,gasoline,2.5,universal,all,11650.0
Others,automatic,other,45250,2016,gasoline,2.5,suv,all,28950.0
Others,automatic,other,80467,2016,gasoline,2.5,suv,all,27950.0
Others,automatic,grey,145000,2007,gasoline,3.6,suv,all,10750.0
Others,automatic,violet,333134,1998,gasoline,2.5,sedan,all,1800.0
Others,automatic,white,175000,2011,gasoline,2.5,universal,all,12200.0
Others,mechanical,black,170000,1999,gasoline,2.0,suv,all,7000.0
Others,automatic,blue,180000,2007,gasoline,2.0,hatchback,all,6650.0
Others,mechanical,other,292901,2004,gasoline,2.5,universal,all,7100.0
Others,automatic,silver,380000,2005,gasoline,2.5,universal,all,7000.0
Others,automatic,other,328000,2000,gasoline,2.5,universal,all,4000.0
Others,mechanical,silver,235000,2007,gasoline,2.0,sedan,all,7100.0
Others,mechanical,green,26500,1994,gasoline,1.8,universal,all,1896.99
Others,mechanical,blue,273588,2000,gasoline,2.5,universal,all,2950.0
Others,mechanical,silver,221100,2006,gasoline,2.5,sedan,all,5500.0
Others,automatic,black,198242,2005,gasoline,2.5,universal,all,6800.0
Others,mechanical,blue,263105,2005,gasoline,2.5,universal,all,7000.0
Others,automatic,silver,109000,2014,gasoline,2.5,universal,all,17000.0
Others,mechanical,black,350000,2005,gasoline,2.5,universal,all,6200.0
Others,automatic,green,200000,1998,gasoline,1.8,universal,all,1950.0
Others,automatic,black,193121,2010,gasoline,2.5,suv,all,10499.0
Others,automatic,other,241402,2001,gasoline,2.5,universal,all,4000.0
Others,mechanical,green,250000,1997,gasoline,2.0,universal,all,2300.0
Others,automatic,blue,321869,1998,gasoline,2.2,sedan,all,2500.0
Others,mechanical,silver,239065,2005,gasoline,2.5,universal,all,6900.0
Others,automatic,white,185000,2010,gasoline,2.5,sedan,all,11990.0
Others,automatic,blue,350000,2002,gasoline,2.5,universal,all,4000.0
Others,automatic,black,198000,2008,gasoline,2.5,suv,all,10150.0
Others,automatic,black,205000,2006,gasoline,2.0,sedan,all,6200.0
Others,automatic,grey,154000,2008,gasoline,3.6,suv,all,8900.0
Others,automatic,white,225308,2008,gasoline,2.5,suv,all,11000.0
Others,mechanical,green,178900,1992,gasoline,1.2,minibus,all,2134.12
Others,automatic,red,176000,2012,gasoline,2.0,suv,all,11300.0
Others,automatic,black,240000,2012,gasoline,2.5,universal,all,15500.0
Others,automatic,silver,325000,2003,gasoline,2.0,sedan,all,4650.0
Others,automatic,white,140000,2007,gasoline,3.6,suv,all,10700.0
Others,automatic,blue,121000,2008,gasoline,2.5,sedan,all,10300.0
Others,automatic,green,347000,2001,gasoline,3.0,universal,all,3950.0
Others,mechanical,black,122000,2009,gasoline,1.0,hatchback,front,6200.0
Others,automatic,other,289682,2002,gasoline,2.5,universal,all,3000.0
Others,mechanical,white,98000,2012,gasoline,2.5,sedan,all,14500.0
Others,automatic,silver,93342,2012,gasoline,2.0,suv,all,13800.0
Others,automatic,other,52000,2015,gasoline,2.5,suv,all,35500.0
Others,automatic,silver,199500,2007,gasoline,2.5,suv,all,7300.0
Others,automatic,grey,160934,2011,gasoline,3.6,suv,all,14000.0
Others,mechanical,green,344400,1997,gasoline,2.5,suv,all,3414.59
Others,mechanical,blue,155000,2005,gasoline,2.0,sedan,all,9800.0
Others,mechanical,blue,97000,2005,gasoline,2.0,sedan,all,8200.0
Others,mechanical,grey,222089,2008,gasoline,2.5,sedan,all,10100.0
Others,mechanical,black,190000,2006,gasoline,2.5,sedan,all,11500.0
Others,mechanical,red,280000,1990,gasoline,2.0,sedan,all,1500.0
Others,automatic,black,150200,2008,gasoline,2.5,suv,all,8999.0
Others,automatic,green,228527,1999,gasoline,2.5,universal,all,4000.0
Others,automatic,silver,180000,2005,gasoline,2.5,universal,all,6500.0
Others,mechanical,blue,449007,2001,gasoline,2.5,universal,all,2500.0
Others,automatic,black,241402,2010,gasoline,2.5,universal,all,13400.0
Others,mechanical,blue,453024,2001,gasoline,2.5,universal,all,3000.0
Others,automatic,black,237000,2005,gasoline,2.5,universal,all,7000.0
Others,automatic,blue,390000,1997,gasoline,2.5,universal,all,2300.0
Others,automatic,grey,305775,2007,gasoline,2.5,universal,all,9600.0
Others,mechanical,red,518209,1999,gasoline,2.5,universal,all,3500.0
Others,automatic,silver,287000,2003,gasoline,2.0,universal,all,3400.0
Others,mechanical,silver,325000,2006,gasoline,2.0,suv,all,6800.0
Others,automatic,black,390000,2002,gasoline,2.5,sedan,all,4900.0
Others,automatic,black,500000,2001,gasoline,2.5,universal,all,3777.0
Others,mechanical,green,250000,2004,gasoline,2.0,sedan,all,4700.0
Others,automatic,blue,179000,2000,gasoline,2.5,universal,all,3600.0
Others,mechanical,green,270000,2008,diesel,2.0,suv,all,10200.0
Others,automatic,green,200000,2014,gasoline,2.0,hatchback,all,19500.0
Others,automatic,green,465000,1998,gasoline,2.0,universal,all,3000.0
Others,automatic,black,298533,2008,gasoline,2.5,universal,all,7900.0
Others,automatic,grey,138404,2007,gasoline,2.5,sedan,all,6500.0
Others,automatic,silver,140000,2008,gasoline,3.6,suv,all,10100.0
Others,mechanical,green,276807,1998,gasoline,2.5,suv,all,2750.0
Others,automatic,white,176000,2011,gasoline,2.0,universal,all,11100.0
Others,mechanical,blue,140000,2000,gasoline,2.0,sedan,all,3500.0
Others,automatic,blue,160000,2012,gasoline,2.5,suv,all,12350.0
Others,automatic,blue,595457,2001,gasoline,2.5,suv,all,2700.0
Others,mechanical,silver,58270,2009,gasoline,1.5,hatchback,front,6750.0
Others,automatic,silver,222000,2008,gasoline,2.0,hatchback,all,8700.0
Others,mechanical,blue,172000,2006,gasoline,2.0,sedan,all,11000.0
Others,automatic,silver,274000,2006,gasoline,2.0,sedan,all,11500.0
Others,mechanical,blue,329916,1999,gasoline,2.2,universal,all,2700.0
Others,automatic,white,260000,1999,gasoline,2.5,sedan,all,3400.0
Others,mechanical,black,234000,2009,diesel,2.0,universal,all,9950.0
Others,automatic,other,280000,2004,gasoline,3.0,sedan,all,8500.0
Others,mechanical,white,280000,1998,gasoline,2.0,suv,all,4850.0
Others,automatic,blue,156000,2008,gasoline,2.0,suv,all,9150.0
Others,mechanical,other,200000,2004,gasoline,2.5,universal,all,7200.0
Others,automatic,silver,299000,2006,gasoline,2.5,universal,all,7000.0
Others,mechanical,blue,164000,2002,gasoline,2.0,sedan,all,4742.47
Others,automatic,white,140013,2008,gasoline,2.5,suv,all,11000.0
Others,automatic,blue,232000,2010,gasoline,2.5,universal,all,14000.0
Others,automatic,grey,257495,2007,gasoline,3.6,suv,all,9900.0
Others,automatic,silver,120000,2009,gasoline,2.5,suv,all,12800.0
Others,automatic,green,304166,1998,gasoline,2.5,universal,all,1850.0
Others,automatic,green,257500,2000,gasoline,2.5,universal,all,3000.0
Others,automatic,other,145000,1999,gasoline,2.0,universal,all,3700.0
Others,automatic,green,265000,2004,gasoline,2.5,universal,all,6700.0
Others,automatic,grey,142000,2010,gasoline,2.0,hatchback,all,9777.0
Others,automatic,green,260000,2002,gasoline,2.5,universal,all,4700.0
Others,automatic,grey,241402,2008,gasoline,3.6,suv,all,10000.0
Others,automatic,black,289682,2004,gasoline,2.5,universal,all,7113.72
Others,mechanical,red,212997,2001,gasoline,2.0,sedan,all,3800.0
Others,automatic,grey,79000,2015,gasoline,2.0,suv,all,19600.0
Others,automatic,silver,386243,2002,gasoline,2.5,sedan,all,4300.0
Others,automatic,black,237000,2006,gasoline,3.0,suv,all,8600.0
Others,automatic,silver,215000,2005,gasoline,2.0,sedan,all,3800.0
Others,mechanical,blue,190000,2006,gasoline,2.0,sedan,all,7100.0
Others,automatic,other,170000,2008,gasoline,2.0,suv,all,9000.0
Others,mechanical,black,150000,2004,gasoline,3.0,sedan,all,9000.0
Others,automatic,violet,275471,2001,gasoline,2.5,universal,all,4000.0
Others,automatic,white,225308,2011,gasoline,2.5,sedan,all,12300.0
Others,automatic,green,233355,2010,gasoline,2.5,suv,all,13500.0
Others,automatic,grey,64400,2017,gasoline,1.6,sedan,front,8200.0
Others,mechanical,silver,78932,2014,gasoline,1.6,universal,front,7066.3
Others,mechanical,brown,46000,2018,gasoline,1.6,universal,front,10600.0
Others,mechanical,black,30500,2017,gasoline,1.6,universal,front,8900.0
Others,automatic,red,35460,2018,gasoline,1.8,universal,front,11450.0
Others,automatic,brown,55378,2018,gasoline,1.8,universal,front,11300.0
Others,mechanical,black,75000,2018,gasoline,1.8,universal,front,11450.0
Others,mechanical,brown,40000,2018,gasoline,1.6,hatchback,front,9900.0
Others,automatic,other,40000,2017,gasoline,1.8,suv,front,9950.0
Others,mechanical,silver,115000,2008,gasoline,1.6,sedan,front,3000.0
Others,mechanical,black,73000,2011,gasoline,1.6,hatchback,front,3800.0
Others,automatic,red,38000,2018,gasoline,1.8,universal,front,12999.0
Others,mechanical,white,106600,2015,gasoline,1.6,sedan,front,5200.0
Others,mechanical,grey,320552,2008,gasoline,1.6,sedan,front,2850.0
Others,automatic,black,42500,2018,gasoline,1.8,universal,front,11619.08
Others,mechanical,silver,76000,2009,gasoline,1.6,sedan,front,3250.0
Others,mechanical,blue,110000,2014,gasoline,1.7,suv,all,4850.0
Others,mechanical,white,53000,2017,gasoline,1.6,sedan,front,8300.0
Others,mechanical,silver,25000,2018,gasoline,1.6,universal,front,8800.0
Others,mechanical,other,135350,2015,gasoline,1.6,van,front,6500.0
Others,automatic,black,94000,2017,gasoline,1.8,sedan,front,8000.0
Others,mechanical,other,43524,2012,gasoline,1.6,sedan,front,5400.0
Others,automatic,red,75000,2017,gasoline,1.8,hatchback,front,8536.46
Others,mechanical,blue,131000,2016,gasoline,1.7,suv,all,4900.0
Others,mechanical,brown,49200,2018,gasoline,1.6,universal,front,10700.0
Others,mechanical,black,71000,2012,gasoline,1.6,hatchback,front,4400.0
Others,mechanical,silver,170000,2008,gasoline,1.6,sedan,front,3450.0
Others,mechanical,silver,160000,2014,gasoline,1.6,van,front,4000.0
Others,mechanical,other,198500,2006,gasoline,1.6,sedan,front,1290.0
Others,mechanical,black,25997,2017,gasoline,1.6,universal,front,6876.6
Others,mechanical,grey,70000,2015,gasoline,1.6,hatchback,front,4742.47
Others,mechanical,black,160000,2009,gasoline,1.6,hatchback,front,3300.0
Others,mechanical,silver,94000,2014,gasoline,1.6,universal,front,5000.0
Others,mechanical,white,195000,2014,gasoline,1.6,van,front,4000.0
Others,mechanical,black,71000,2013,gasoline,1.6,sedan,front,3500.0
Others,mechanical,blue,112721,2013,gasoline,1.6,sedan,front,4078.54
Others,mechanical,grey,151163,2016,gasoline,1.6,sedan,front,6924.03
Others,mechanical,grey,44000,2018,gasoline,1.6,universal,front,9890.0
Others,mechanical,orange,47000,2018,gasoline,1.6,universal,front,11026.27
Others,automatic,orange,50000,2018,gasoline,1.8,hatchback,front,12000.0
Others,mechanical,black,90000,2016,gasoline,1.6,sedan,front,8500.0
Others,mechanical,white,85000,2015,gasoline,1.6,universal,front,7400.0
Others,mechanical,silver,22500,2018,gasoline,1.8,hatchback,front,10000.0
Others,mechanical,grey,200000,2018,gasoline,1.6,van,front,6800.0
Others,mechanical,silver,240000,2005,gasoline,1.6,hatchback,front,1090.77
Others,mechanical,other,133000,2000,gasoline,1.5,universal,front,1200.0
Others,mechanical,green,123456,2009,gasoline,1.6,sedan,front,1750.0
Others,mechanical,other,97000,2012,gasoline,1.6,universal,front,4100.0
Others,mechanical,white,40000,2017,gasoline,1.6,sedan,front,9900.0
Others,mechanical,silver,35000,2018,gasoline,1.6,sedan,front,10148.91
Others,mechanical,white,60000,1995,gasoline,1.7,suv,all,1300.0
Others,mechanical,orange,63081,2018,gasoline,1.8,universal,front,10860.29
Others,mechanical,orange,47900,2018,gasoline,1.6,universal,front,11239.69
Others,mechanical,silver,40000,2018,gasoline,1.6,universal,front,8773.12
Others,mechanical,white,109000,2017,gasoline,1.6,sedan,front,7999.0
Others,automatic,brown,50000,2017,gasoline,1.8,sedan,front,9500.0
Others,mechanical,silver,66480,2006,gasoline,1.7,suv,all,4000.0
Others,mechanical,grey,134000,2014,gasoline,1.6,universal,front,6500.0
Others,mechanical,red,26000,2018,gasoline,1.8,universal,front,12415.82
Others,mechanical,red,20792,2016,gasoline,1.8,hatchback,front,9300.0
Others,mechanical,brown,22500,2018,gasoline,1.6,universal,front,11974.77
Others,automatic,other,66000,2017,gasoline,1.8,sedan,front,10300.0
Others,mechanical,grey,69000,2017,gasoline,1.6,sedan,front,7500.0
Others,automatic,white,135000,2016,gasoline,1.8,hatchback,front,7500.0
Others,mechanical,red,125000,2013,gasoline,1.6,sedan,front,4000.0
Others,mechanical,white,99000,2016,gasoline,1.6,universal,front,8600.0
Others,mechanical,white,65000,2017,gasoline,1.6,sedan,front,4500.0
Others,mechanical,silver,120000,2010,gasoline,1.7,suv,all,4100.0
Others,mechanical,other,206000,2015,gasoline,1.6,universal,front,6400.0
Others,mechanical,blue,44000,2015,gasoline,1.7,suv,all,5500.0
Others,mechanical,red,29000,2018,gasoline,1.8,universal,front,13500.0
Others,mechanical,green,60000,2006,gasoline,1.7,suv,all,6000.0
Others,mechanical,black,37591,2016,gasoline,1.6,hatchback,front,8500.0
Others,mechanical,white,44000,2017,gasoline,1.6,universal,front,10950.0
Others,mechanical,grey,50100,2016,gasoline,1.6,liftback,front,7900.0
Others,mechanical,silver,199869,2016,gasoline,1.6,minivan,front,7100.0
Others,automatic,red,55000,2017,gasoline,1.6,sedan,front,9247.84
Others,mechanical,silver,81000,2011,gasoline,1.6,universal,front,2900.0
Others,mechanical,white,38000,2016,gasoline,1.6,sedan,front,6600.0
Others,mechanical,silver,53000,2015,gasoline,1.6,universal,front,7000.0
Others,automatic,black,71000,2013,gasoline,1.6,sedan,front,4200.0
Others,mechanical,other,30000,2019,gasoline,1.6,universal,front,9250.0
Others,mechanical,silver,25000,2018,gasoline,1.6,liftback,front,8536.46
Others,mechanical,grey,155000,2013,gasoline,1.6,sedan,front,6000.0
Others,mechanical,silver,110000,2014,gasoline,1.6,universal,front,7000.0
Others,mechanical,black,45000,2018,gasoline,1.6,universal,front,11000.0
Others,mechanical,red,23900,2017,gasoline,1.6,sedan,front,10300.0
Others,mechanical,white,86000,2014,gasoline,1.6,sedan,front,5000.0
Others,mechanical,blue,43000,2014,gasoline,1.6,hatchback,front,6000.0
Others,mechanical,brown,24000,2016,gasoline,1.6,sedan,front,9000.0
Others,mechanical,grey,170000,2014,gasoline,1.6,van,front,5600.0
Others,mechanical,silver,35000,2016,gasoline,1.6,hatchback,front,10670.59
Others,mechanical,silver,40000,2012,gasoline,1.6,hatchback,front,3800.0
Others,mechanical,silver,87000,2008,gasoline,1.6,sedan,front,3600.0
Others,mechanical,brown,71000,2017,gasoline,1.6,van,front,7170.63
Others,mechanical,black,24000,2019,gasoline,1.6,hatchback,front,7000.0
Others,mechanical,brown,105000,2017,gasoline,1.6,universal,front,8868.44
Others,mechanical,silver,32000,2017,gasoline,1.6,universal,front,9247.84
Others,mechanical,silver,49000,2013,gasoline,1.6,sedan,front,5600.0
Others,mechanical,other,133000,2010,gasoline,1.6,hatchback,front,3485.73
Others,automatic,blue,104000,2012,gasoline,1.4,sedan,front,10500.0
Others,automatic,green,220000,2003,gasoline,2.4,sedan,front,2371.23
Others,automatic,red,170000,2017,gasoline,3.6,minivan,front,27000.0
Others,mechanical,grey,234567,2003,gasoline,2.4,coupe,front,3250.0
Others,automatic,white,402336,2001,gasoline,3.3,minivan,front,4000.0
Others,automatic,blue,248000,2005,gasoline,2.4,minivan,front,3999.0
Others,automatic,other,360000,1998,gasoline,2.4,minivan,front,1700.0
Others,automatic,red,200000,1999,gasoline,2.7,sedan,front,2600.0
Others,automatic,red,115000,2012,gasoline,2.0,sedan,front,11200.0
Others,automatic,black,321869,2002,gasoline,3.5,sedan,front,3000.0
Others,automatic,silver,180000,2007,gasoline,2.0,hatchback,front,6699.0
Others,automatic,black,321869,1999,gasoline,2.7,sedan,front,3000.0
Others,mechanical,orange,370149,2005,gasoline,2.0,sedan,front,2500.0
Others,automatic,other,178000,2005,gasoline,2.0,sedan,front,2350.0
Others,automatic,red,312457,2004,gasoline,2.7,universal,rear,6900.0
Others,automatic,red,286549,2007,gasoline,2.7,sedan,front,5990.0
Others,mechanical,other,200500,2007,gasoline,1.8,hatchback,front,5500.0
Others,automatic,silver,170000,2004,gasoline,2.0,sedan,front,2050.0
